RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-70percent.xvg,RMSD-backbone-70percent.xvg
46.02,0.13725,46.02,1.19162,46.0200005,0.1634451,46.0200005,0.198862,46.0200005,0.2537234
46.03,0.13308,46.03,1.19481,46.0300026,0.1741907,46.0300026,0.2071435,46.0300026,0.2628452
46.04,0.13647,46.04,1.2066,46.0400009,0.1723171,46.0400009,0.205316,46.0400009,0.2536702
46.05,0.13706,46.05,1.20303,46.0500031,0.1649964,46.0500031,0.1978879,46.0500031,0.2632464
46.06,0.14287,46.06,1.21192,46.0600014,0.1818479,46.0600014,0.1964726,46.0600014,0.2551495
46.07,0.15624,46.07,1.18213,46.0700035,0.1738258,46.0700035,0.2009401,46.0700035,0.2426219
46.08,0.15677,46.08,1.19871,46.0800018,0.1707923,46.0800018,0.2062234,46.0800018,0.2515554
46.09,0.15516,46.09,1.20442,46.090004,0.165928,46.090004,0.2082423,46.090004,0.257827
46.1,0.13713,46.1,1.20245,46.1000023,0.1722408,46.1000023,0.2127308,46.1000023,0.2587352
46.11,0.15371,46.11,1.19734,46.1100006,0.1738329,46.1100006,0.2191861,46.1100006,0.2622788
46.12,0.1524,46.12,1.20146,46.1200027,0.1742177,46.1200027,0.204479,46.1200027,0.2610256
46.13,0.12992,46.13,1.20341,46.1300011,0.1764298,46.1300011,0.2097659,46.1300011,0.2577198
46.14,0.13378,46.14,1.19676,46.1400032,0.1720301,46.1400032,0.2023391,46.1400032,0.2564641
46.15,0.14307,46.15,1.1709,46.1500015,0.1680484,46.1500015,0.2051684,46.1500015,0.2529495
46.16,0.14659,46.16,1.1871,46.1600037,0.1681926,46.1600037,0.2055441,46.1600037,0.2589458
46.17,0.15296,46.17,1.20429,46.170002,0.1712847,46.170002,0.2022839,46.170002,0.2645018
46.18,0.15261,46.18,1.21956,46.1800003,0.1674916,46.1800003,0.211705,46.1800003,0.2597059
46.19,0.14722,46.19,1.2325,46.1900024,0.159827,46.1900024,0.2064713,46.1900024,0.2631766
46.2,0.1367,46.2,1.22789,46.2000008,0.157769,46.2000008,0.2004253,46.2000008,0.2578684
46.21,0.13821,46.21,1.23594,46.2100029,0.1712101,46.2100029,0.1976448,46.2100029,0.2567442
46.22,0.14381,46.22,1.23329,46.2200012,0.16997,46.2200012,0.2069366,46.2200012,0.2468817
46.23,0.1366,46.23,1.22252,46.2300034,0.1808735,46.2300034,0.2061005,46.2300034,0.2442095
46.24,0.13252,46.24,1.2182,46.2400017,0.1767167,46.2400017,0.2012714,46.2400017,0.2370149
46.25,0.13298,46.25,1.21299,46.2500038,0.1711138,46.2500038,0.2123804,46.2500038,0.235282
46.26,0.12503,46.26,1.19574,46.2600021,0.1759201,46.2600021,0.2119157,46.2600021,0.223358
46.27,0.13103,46.27,1.19842,46.2700005,0.1740061,46.2700005,0.2139157,46.2700005,0.2364744
46.28,0.13254,46.28,1.20656,46.2800026,0.1738863,46.2800026,0.2064844,46.2800026,0.2408245
46.29,0.13165,46.29,1.20768,46.2900009,0.1765526,46.2900009,0.1990342,46.2900009,0.2448751
46.3,0.14073,46.3,1.21836,46.3000031,0.1755403,46.3000031,0.1922229,46.3000031,0.2215555
46.31,0.1382,46.31,1.20575,46.3100014,0.1698624,46.3100014,0.2015071,46.3100014,0.232207
46.32,0.14475,46.32,1.20553,46.3200035,0.1694793,46.3200035,0.2111264,46.3200035,0.2399107
46.33,0.14511,46.33,1.19745,46.3300018,0.1697821,46.3300018,0.2004926,46.3300018,0.2393311
46.34,0.15731,46.34,1.19714,46.340004,0.1629177,46.340004,0.2031877,46.340004,0.2460884
46.35,0.14925,46.35,1.20695,46.3500023,0.1691944,46.3500023,0.1924951,46.3500023,0.2502232
46.36,0.15951,46.36,1.20987,46.3600006,0.1694792,46.3600006,0.1951144,46.3600006,0.2505606
46.37,0.1563,46.37,1.19454,46.3700027,0.1768233,46.3700027,0.2072607,46.3700027,0.2419265
46.38,0.15247,46.38,1.20428,46.3800011,0.1675893,46.3800011,0.2094053,46.3800011,0.2504219
46.39,0.15444,46.39,1.19289,46.3900032,0.1624844,46.3900032,0.2021656,46.3900032,0.2519257
46.4,0.16441,46.4,1.18461,46.4000015,0.1700704,46.4000015,0.2088658,46.4000015,0.2456918
46.41,0.16018,46.41,1.19215,46.4100037,0.1697886,46.4100037,0.2084761,46.4100037,0.2535625
46.42,0.17422,46.42,1.18785,46.420002,0.1654833,46.420002,0.2125465,46.420002,0.2563987
46.43,0.15999,46.43,1.17992,46.4300003,0.1761704,46.4300003,0.2091534,46.4300003,0.2571185
46.44,0.15379,46.44,1.17326,46.4400024,0.1680414,46.4400024,0.2110687,46.4400024,0.2509791
46.45,0.15267,46.45,1.17538,46.4500008,0.1644533,46.4500008,0.2051188,46.4500008,0.2544791
46.46,0.14506,46.46,1.19087,46.4600029,0.1745914,46.4600029,0.2001231,46.4600029,0.249889
46.47,0.15798,46.47,1.19777,46.4700012,0.1777317,46.4700012,0.1860572,46.4700012,0.2492402
46.48,0.14753,46.48,1.18006,46.4800034,0.1822638,46.4800034,0.199407,46.4800034,0.249557
46.49,0.14578,46.49,1.17539,46.4900017,0.1757673,46.4900017,0.2016617,46.4900017,0.2538327
46.5,0.15665,46.5,1.18091,46.5000038,0.1840552,46.5000038,0.1879481,46.5000038,0.2496262
46.51,0.15485,46.51,1.18697,46.5100021,0.1720946,46.5100021,0.2013284,46.5100021,0.246842
46.52,0.15101,46.52,1.18358,46.5200005,0.1718487,46.5200005,0.1942963,46.5200005,0.2562384
46.53,0.16408,46.53,1.17505,46.5300026,0.1705777,46.5300026,0.2048102,46.5300026,0.2486397
46.54,0.14995,46.54,1.18727,46.5400009,0.1715712,46.5400009,0.207211,46.5400009,0.262702
46.55,0.15901,46.55,1.17734,46.5500031,0.1717011,46.5500031,0.2017767,46.5500031,0.2531802
46.56,0.1515,46.56,1.17856,46.5600014,0.1719935,46.5600014,0.1917697,46.5600014,0.2419127
46.57,0.16138,46.57,1.16346,46.5700035,0.1800281,46.5700035,0.2014208,46.5700035,0.2563664
46.58,0.145,46.58,1.17064,46.5800018,0.168991,46.5800018,0.2001764,46.5800018,0.2463415
46.59,0.15016,46.59,1.17878,46.590004,0.168047,46.590004,0.1992411,46.590004,0.2535537
46.6,0.15055,46.6,1.18872,46.6000023,0.1729888,46.6000023,0.2013867,46.6000023,0.2444157
46.61,0.15031,46.61,1.18166,46.6100006,0.1734353,46.6100006,0.196067,46.6100006,0.2443654
46.62,0.1448,46.62,1.19545,46.6200027,0.1789397,46.6200027,0.205428,46.6200027,0.244098
46.63,0.14833,46.63,1.20157,46.6300011,0.1750703,46.6300011,0.1925044,46.6300011,0.2414742
46.64,0.15793,46.64,1.20733,46.6400032,0.1795107,46.6400032,0.2051033,46.6400032,0.2466388
46.65,0.14578,46.65,1.18919,46.6500015,0.1684743,46.6500015,0.2126978,46.6500015,0.2434341
46.66,0.14814,46.66,1.17895,46.6600037,0.1785897,46.6600037,0.2144236,46.6600037,0.2467662
46.67,0.15124,46.67,1.18094,46.670002,0.180984,46.670002,0.2190229,46.670002,0.2439539
46.68,0.14863,46.68,1.16994,46.6800041,0.1780913,46.6800041,0.2032632,46.6800041,0.2434742
46.69,0.1459,46.69,1.17593,46.6900024,0.1742121,46.6900024,0.196969,46.6900024,0.2486417
46.7,0.15476,46.7,1.15553,46.7000008,0.1828319,46.7000008,0.2070572,46.7000008,0.254132
46.71,0.14817,46.71,1.16202,46.7100029,0.1805624,46.7100029,0.2136598,46.7100029,0.2470168
46.72,0.14593,46.72,1.16873,46.7200012,0.1660904,46.7200012,0.2137124,46.7200012,0.262256
46.73,0.14199,46.73,1.16346,46.7300034,0.1689448,46.7300034,0.206967,46.7300034,0.2581269
46.74,0.14402,46.74,1.16226,46.7400017,0.1670529,46.7400017,0.2090459,46.7400017,0.2466603
46.75,0.15255,46.75,1.17282,46.7500038,0.1707616,46.7500038,0.1989887,46.7500038,0.2608042
46.76,0.14595,46.76,1.18776,46.7600021,0.1698952,46.7600021,0.2133044,46.7600021,0.2521797
46.77,0.14052,46.77,1.18062,46.7700005,0.1649083,46.7700005,0.2068368,46.7700005,0.2491002
46.78,0.14703,46.78,1.1797,46.7800026,0.1761938,46.7800026,0.2200067,46.7800026,0.2510701
46.79,0.14488,46.79,1.1791,46.7900009,0.1717314,46.7900009,0.2259363,46.7900009,0.2453642
46.8,0.1339,46.8,1.18618,46.8000031,0.1713561,46.8000031,0.219204,46.8000031,0.2416794
46.81,0.13709,46.81,1.18208,46.8100014,0.1787736,46.8100014,0.2194098,46.8100014,0.2521644
46.82,0.14962,46.82,1.18052,46.8200035,0.1751196,46.8200035,0.2070583,46.8200035,0.2493372
46.83,0.14654,46.83,1.163,46.8300018,0.1823561,46.8300018,0.2035653,46.8300018,0.2410737
46.84,0.14112,46.84,1.15943,46.840004,0.1852445,46.840004,0.207805,46.840004,0.2435763
46.85,0.14218,46.85,1.17111,46.8500023,0.1845145,46.8500023,0.1959915,46.8500023,0.2527618
46.86,0.13849,46.86,1.15124,46.8600006,0.1840919,46.8600006,0.2016574,46.8600006,0.2479831
46.87,0.13247,46.87,1.16413,46.8700027,0.1803949,46.8700027,0.2031665,46.8700027,0.2582077
46.88,0.13933,46.88,1.17229,46.8800011,0.1850255,46.8800011,0.2016434,46.8800011,0.2566232
46.89,0.14816,46.89,1.17137,46.8900032,0.1763859,46.8900032,0.2013758,46.8900032,0.2705298
46.9,0.13411,46.9,1.15677,46.9000015,0.174485,46.9000015,0.2065373,46.9000015,0.2616275
46.91,0.13565,46.91,1.16495,46.9100037,0.1717819,46.9100037,0.2079867,46.9100037,0.2498875
46.92,0.13917,46.92,1.1612,46.920002,0.1793528,46.920002,0.2036548,46.920002,0.2600999
46.93,0.14535,46.93,1.15341,46.9300041,0.1852117,46.9300041,0.1952324,46.9300041,0.2533231
46.94,0.14878,46.94,1.16628,46.9400024,0.1796444,46.9400024,0.1976926,46.9400024,0.2445337
46.95,0.15087,46.95,1.1612,46.9500008,0.1772902,46.9500008,0.1980494,46.9500008,0.2422185
46.96,0.15454,46.96,1.16353,46.9600029,0.1836142,46.9600029,0.2057278,46.9600029,0.2519591
46.97,0.15804,46.97,1.14552,46.9700012,0.181964,46.9700012,0.2050124,46.9700012,0.2443465
46.98,0.15531,46.98,1.15032,46.9800034,0.1768786,46.9800034,0.2040949,46.9800034,0.2428372
46.99,0.14186,46.99,1.17725,46.9900017,0.1799964,46.9900017,0.2094182,46.9900017,0.2356458
47,0.14529,47,1.17515,47.0000038,0.18343,47.0000038,0.2053483,47.0000038,0.2316167
47.01,0.14497,47.01,1.1696,47.0100021,0.1796303,47.0100021,0.208112,47.0100021,0.231404
47.02,0.13869,47.02,1.18942,47.0200005,0.1801016,47.0200005,0.2120379,47.0200005,0.2378215
47.03,0.15232,47.03,1.18421,47.0300026,0.1722391,47.0300026,0.2174921,47.0300026,0.2371072
47.04,0.14087,47.04,1.17426,47.0400009,0.1786918,47.0400009,0.2255073,47.0400009,0.2432375
47.05,0.13582,47.05,1.18464,47.0500031,0.1810718,47.0500031,0.2278062,47.0500031,0.242873
47.06,0.15205,47.06,1.17556,47.0600014,0.1796558,47.0600014,0.2304551,47.0600014,0.2341823
47.07,0.14504,47.07,1.19041,47.0700035,0.1776101,47.0700035,0.24333,47.0700035,0.2389967
47.08,0.14058,47.08,1.17672,47.0800018,0.176582,47.0800018,0.2305115,47.0800018,0.2281336
47.09,0.14485,47.09,1.17539,47.090004,0.1712007,47.090004,0.2282654,47.090004,0.2291479
47.1,0.15873,47.1,1.15526,47.1000023,0.171931,47.1000023,0.2235406,47.1000023,0.238011
47.11,0.1601,47.11,1.15202,47.1100006,0.1780037,47.1100006,0.2302216,47.1100006,0.2272763
47.12,0.15769,47.12,1.15725,47.1200027,0.1810506,47.1200027,0.2321881,47.1200027,0.2327846
47.13,0.15098,47.13,1.17184,47.1300011,0.1788085,47.1300011,0.2341156,47.1300011,0.2311353
47.14,0.14731,47.14,1.16499,47.1400032,0.1785155,47.1400032,0.2269438,47.1400032,0.2319288
47.15,0.16296,47.15,1.17341,47.1500015,0.1810341,47.1500015,0.2287391,47.1500015,0.2358073
47.16,0.16603,47.16,1.16974,47.1600037,0.1843328,47.1600037,0.2296512,47.1600037,0.2410547
47.17,0.17104,47.17,1.15503,47.170002,0.1827696,47.170002,0.2353464,47.170002,0.2305841
47.18,0.16943,47.18,1.15232,47.1800041,0.1799054,47.1800041,0.2487953,47.1800041,0.2177986
47.19,0.16322,47.19,1.15659,47.1900024,0.1722824,47.1900024,0.2442404,47.1900024,0.223603
47.2,0.16634,47.2,1.15947,47.2000008,0.1744692,47.2000008,0.2410432,47.2000008,0.2155513
47.21,0.18224,47.21,1.15903,47.2100029,0.1877688,47.2100029,0.2406841,47.2100029,0.2185213
47.22,0.16803,47.22,1.17921,47.2200012,0.1736573,47.2200012,0.2454886,47.2200012,0.2199445
47.23,0.17554,47.23,1.20413,47.2300034,0.1718458,47.2300034,0.2332247,47.2300034,0.2301001
47.24,0.16632,47.24,1.17956,47.2400017,0.1777602,47.2400017,0.2294344,47.2400017,0.2240797
47.25,0.16497,47.25,1.19691,47.2500038,0.1717432,47.2500038,0.2331558,47.2500038,0.2279796
47.26,0.15638,47.26,1.18429,47.2600021,0.1799503,47.2600021,0.2448265,47.2600021,0.238994
47.27,0.15138,47.27,1.17975,47.2700005,0.1858248,47.2700005,0.2370457,47.2700005,0.2324474
47.28,0.16793,47.28,1.1687,47.2800026,0.1811964,47.2800026,0.2210806,47.2800026,0.2440917
47.29,0.15624,47.29,1.18357,47.2900009,0.1732,47.2900009,0.224351,47.2900009,0.2336714
47.3,0.15005,47.3,1.18494,47.3000031,0.1810515,47.3000031,0.2342094,47.3000031,0.2299787
47.31,0.1667,47.31,1.21285,47.3100014,0.1780365,47.3100014,0.23857,47.3100014,0.2346188
47.32,0.16515,47.32,1.21418,47.3200035,0.1786098,47.3200035,0.2214376,47.3200035,0.2429576
47.33,0.1703,47.33,1.20005,47.3300018,0.1754531,47.3300018,0.2235572,47.3300018,0.2299186
47.34,0.17264,47.34,1.18652,47.340004,0.1761159,47.340004,0.2224047,47.340004,0.238031
47.35,0.16588,47.35,1.19457,47.3500023,0.1746145,47.3500023,0.2208053,47.3500023,0.236131
47.36,0.16091,47.36,1.20583,47.3600006,0.1786537,47.3600006,0.2124728,47.3600006,0.2468517
47.37,0.16391,47.37,1.20128,47.3700027,0.1709874,47.3700027,0.2210787,47.3700027,0.237315
47.38,0.16745,47.38,1.20336,47.3800011,0.1770006,47.3800011,0.2217901,47.3800011,0.2244274
47.39,0.15954,47.39,1.20129,47.3900032,0.1765121,47.3900032,0.214083,47.3900032,0.2386853
47.4,0.14531,47.4,1.20765,47.4000015,0.1661246,47.4000015,0.2268945,47.4000015,0.2274564
47.41,0.14849,47.41,1.21602,47.4100037,0.1738512,47.4100037,0.2163154,47.4100037,0.231604
47.42,0.15857,47.42,1.21546,47.420002,0.174981,47.420002,0.2147312,47.420002,0.240762
47.43,0.15521,47.43,1.21456,47.4300041,0.1707306,47.4300041,0.2179829,47.4300041,0.2283754
47.44,0.1553,47.44,1.21252,47.4400024,0.168675,47.4400024,0.2246941,47.4400024,0.238909
47.45,0.16485,47.45,1.22184,47.4500008,0.1723335,47.4500008,0.2229846,47.4500008,0.2269146
47.46,0.15799,47.46,1.20638,47.4600029,0.178814,47.4600029,0.21784,47.4600029,0.2289326
47.47,0.16578,47.47,1.21556,47.4700012,0.1710798,47.4700012,0.228959,47.4700012,0.229579
47.48,0.16316,47.48,1.20595,47.4800034,0.1801739,47.4800034,0.2213573,47.4800034,0.2328131
47.49,0.15655,47.49,1.2065,47.4900017,0.1734092,47.4900017,0.2133307,47.4900017,0.2307288
47.5,0.16005,47.5,1.21258,47.5000038,0.1746145,47.5000038,0.2060837,47.5000038,0.2387627
47.51,0.15963,47.51,1.20932,47.5100021,0.1740976,47.5100021,0.2144449,47.5100021,0.2297339
47.52,0.15908,47.52,1.20122,47.5200005,0.1741907,47.5200005,0.2228067,47.5200005,0.2234895
47.53,0.15626,47.53,1.2024,47.5300026,0.1687757,47.5300026,0.2318083,47.5300026,0.2272319
47.54,0.15151,47.54,1.20916,47.5400009,0.1780271,47.5400009,0.2220175,47.5400009,0.2162746
47.55,0.14416,47.55,1.20548,47.5500031,0.1797572,47.5500031,0.2277629,47.5500031,0.2137965
47.56,0.14717,47.56,1.19588,47.5600014,0.1788733,47.5600014,0.2097262,47.5600014,0.2131886
47.57,0.14128,47.57,1.17102,47.5700035,0.1769589,47.5700035,0.2234673,47.5700035,0.2139765
47.58,0.1377,47.58,1.18493,47.5800018,0.1802568,47.5800018,0.2258157,47.5800018,0.2122506
47.59,0.13625,47.59,1.19846,47.590004,0.1752105,47.590004,0.2240504,47.590004,0.2242016
47.6,0.13269,47.6,1.19753,47.6000023,0.1703402,47.6000023,0.2270976,47.6000023,0.2282159
47.61,0.14974,47.61,1.18541,47.6100006,0.1735596,47.6100006,0.2165094,47.6100006,0.2185103
47.62,0.15569,47.62,1.19075,47.6200027,0.1683459,47.6200027,0.2128274,47.6200027,0.2151671
47.63,0.1465,47.63,1.19488,47.6300011,0.1750392,47.6300011,0.2088716,47.6300011,0.2317376
47.64,0.15294,47.64,1.18849,47.6400032,0.179004,47.6400032,0.2015288,47.6400032,0.221381
47.65,0.1566,47.65,1.18895,47.6500015,0.1802615,47.6500015,0.1997881,47.6500015,0.223055
47.66,0.15241,47.66,1.17174,47.6600037,0.1819666,47.6600037,0.2055569,47.6600037,0.2204786
47.67,0.14815,47.67,1.17187,47.670002,0.1932494,47.670002,0.2049761,47.670002,0.2214354
47.68,0.13304,47.68,1.16941,47.6800041,0.1876724,47.6800041,0.1924205,47.6800041,0.2171538
47.69,0.13527,47.69,1.17627,47.6900024,0.1877793,47.6900024,0.1929993,47.6900024,0.2228027
47.7,0.13528,47.7,1.17971,47.7000008,0.1837205,47.7000008,0.2041452,47.7000008,0.234805
47.71,0.1426,47.71,1.19036,47.7100029,0.1843595,47.7100029,0.2127854,47.7100029,0.2330999
47.72,0.13928,47.72,1.20562,47.7200012,0.1817684,47.7200012,0.2149362,47.7200012,0.2169046
47.73,0.15467,47.73,1.20108,47.7300034,0.1866951,47.7300034,0.2214149,47.7300034,0.2207385
47.74,0.15442,47.74,1.19055,47.7400017,0.1806087,47.7400017,0.2242322,47.7400017,0.2234419
47.75,0.16096,47.75,1.18396,47.7500038,0.1884943,47.7500038,0.2125223,47.7500038,0.2334835
47.76,0.14741,47.76,1.19191,47.7600021,0.1771733,47.7600021,0.2144421,47.7600021,0.23848
47.77,0.14695,47.77,1.1941,47.7700005,0.1910162,47.7700005,0.2207684,47.7700005,0.2317922
47.78,0.14376,47.78,1.18628,47.7800026,0.1796818,47.7800026,0.2274348,47.7800026,0.2338368
47.79,0.15869,47.79,1.17467,47.7900009,0.1980291,47.7900009,0.2245542,47.7900009,0.2266831
47.8,0.15114,47.8,1.19056,47.8000031,0.1839631,47.8000031,0.2193495,47.8000031,0.2334279
47.81,0.15886,47.81,1.18666,47.8100014,0.1802597,47.8100014,0.2190941,47.8100014,0.2333777
47.82,0.15493,47.82,1.18978,47.8200035,0.1861407,47.8200035,0.2134466,47.8200035,0.2347426
47.83,0.15731,47.83,1.1842,47.8300018,0.1901356,47.8300018,0.2138199,47.8300018,0.2312732
47.84,0.15214,47.84,1.18615,47.840004,0.1856615,47.840004,0.2125517,47.840004,0.232623
47.85,0.16468,47.85,1.19821,47.8500023,0.1892194,47.8500023,0.2101359,47.8500023,0.225756
47.86,0.15585,47.86,1.19994,47.8600006,0.1797124,47.8600006,0.2204092,47.8600006,0.2287119
47.87,0.15056,47.87,1.20643,47.8700027,0.1852939,47.8700027,0.2137716,47.8700027,0.2364644
47.88,0.15419,47.88,1.21233,47.8800011,0.1896543,47.8800011,0.2042279,47.8800011,0.2355744
47.89,0.15665,47.89,1.21548,47.8900032,0.195296,47.8900032,0.2162615,47.8900032,0.2323951
47.9,0.15547,47.9,1.22248,47.9000015,0.19061,47.9000015,0.2090638,47.9000015,0.2357472
47.91,0.14319,47.91,1.22863,47.9100037,0.1893172,47.9100037,0.2081471,47.9100037,0.232704
47.92,0.1502,47.92,1.22186,47.920002,0.1966327,47.920002,0.2084018,47.920002,0.2327298
47.93,0.14617,47.93,1.23334,47.9300041,0.190507,47.9300041,0.2092323,47.9300041,0.2330754
47.94,0.16741,47.94,1.23395,47.9400024,0.2033425,47.9400024,0.213548,47.9400024,0.2186024
47.95,0.15305,47.95,1.22749,47.9500008,0.1903778,47.9500008,0.202869,47.9500008,0.2301313
47.96,0.1682,47.96,1.23118,47.9600029,0.1906768,47.9600029,0.2198226,47.9600029,0.234031
47.97,0.14874,47.97,1.20462,47.9700012,0.2023522,47.9700012,0.2218571,47.9700012,0.2291897
47.98,0.14109,47.98,1.21559,47.9800034,0.1952719,47.9800034,0.2165915,47.9800034,0.2293876
47.99,0.153,47.99,1.21283,47.9900017,0.193748,47.9900017,0.2074219,47.9900017,0.22742
48,0.15787,48,1.19503,48.0000038,0.190253,48.0000038,0.2050005,48.0000038,0.2321098
48.01,0.15177,48.01,1.20116,48.0100021,0.1869166,48.0100021,0.2105425,48.0100021,0.2304834
48.02,0.14253,48.02,1.20398,48.0200005,0.1856025,48.0200005,0.2097397,48.0200005,0.2272284
48.03,0.14382,48.03,1.20237,48.0300026,0.1815627,48.0300026,0.2048252,48.0300026,0.233908
48.04,0.13604,48.04,1.18498,48.0400009,0.1884404,48.0400009,0.2033746,48.0400009,0.2253236
48.05,0.14312,48.05,1.21348,48.0500031,0.1888032,48.0500031,0.2057869,48.0500031,0.2254247
48.06,0.14169,48.06,1.21241,48.0600014,0.1964339,48.0600014,0.2072839,48.0600014,0.2363843
48.07,0.14419,48.07,1.20545,48.0700035,0.1896292,48.0700035,0.2158936,48.0700035,0.2294683
48.08,0.13866,48.08,1.19983,48.0800018,0.1843098,48.0800018,0.2149732,48.0800018,0.2174817
48.09,0.14664,48.09,1.21649,48.090004,0.1864531,48.090004,0.2174391,48.090004,0.2165335
48.1,0.12972,48.1,1.21551,48.1000023,0.1853696,48.1000023,0.2120729,48.1000023,0.2198172
48.11,0.14365,48.11,1.20933,48.1100006,0.1884149,48.1100006,0.2154562,48.1100006,0.2234366
48.12,0.1493,48.12,1.22242,48.1200027,0.1833417,48.1200027,0.221117,48.1200027,0.2312616
48.13,0.1393,48.13,1.20388,48.1300011,0.177234,48.1300011,0.2201888,48.1300011,0.2372999
48.14,0.14495,48.14,1.18564,48.1400032,0.1741275,48.1400032,0.2113486,48.1400032,0.2281848
48.15,0.14331,48.15,1.18502,48.1500015,0.1906173,48.1500015,0.2070064,48.1500015,0.2252201
48.16,0.14997,48.16,1.17581,48.1600037,0.1998817,48.1600037,0.2013249,48.1600037,0.2245661
48.17,0.15594,48.17,1.19646,48.170002,0.1896073,48.170002,0.1999571,48.170002,0.2218312
48.18,0.14268,48.18,1.20808,48.1800041,0.1942162,48.1800041,0.2107974,48.1800041,0.2236898
48.19,0.14653,48.19,1.20203,48.1900024,0.1932673,48.1900024,0.2146154,48.1900024,0.2207762
48.2,0.14812,48.2,1.20815,48.2000008,0.208908,48.2000008,0.209425,48.2000008,0.219834
48.21,0.14396,48.21,1.2148,48.2100029,0.2077499,48.2100029,0.2236586,48.2100029,0.218112
48.22,0.15337,48.22,1.22033,48.2200012,0.2042257,48.2200012,0.211083,48.2200012,0.2289325
48.23,0.14319,48.23,1.22243,48.2300034,0.2060613,48.2300034,0.203933,48.2300034,0.2248914
48.24,0.15059,48.24,1.22089,48.2400017,0.1922394,48.2400017,0.2035346,48.2400017,0.2169986
48.25,0.14789,48.25,1.21913,48.2500038,0.2016366,48.2500038,0.2126888,48.2500038,0.2313825
48.26,0.15771,48.26,1.21941,48.2600021,0.1924011,48.2600021,0.2058506,48.2600021,0.2298686
48.27,0.1555,48.27,1.23438,48.2700005,0.1998089,48.2700005,0.1982728,48.2700005,0.2168674
48.28,0.15165,48.28,1.23698,48.2800026,0.2090607,48.2800026,0.2003857,48.2800026,0.2135175
48.29,0.15674,48.29,1.23805,48.2900009,0.1845289,48.2900009,0.1985053,48.2900009,0.2114675
48.3,0.15458,48.3,1.21794,48.3000031,0.1743385,48.3000031,0.2107818,48.3000031,0.2166856
48.31,0.1505,48.31,1.18453,48.3100014,0.1753669,48.3100014,0.2008958,48.3100014,0.2145016
48.32,0.15571,48.32,1.18875,48.3200035,0.1782121,48.3200035,0.2090992,48.3200035,0.2144404
48.33,0.15205,48.33,1.20868,48.3300018,0.1716401,48.3300018,0.2011898,48.3300018,0.2151012
48.34,0.14326,48.34,1.2041,48.340004,0.1776685,48.340004,0.2166603,48.340004,0.2110297
48.35,0.15624,48.35,1.20679,48.3500023,0.1827373,48.3500023,0.2137337,48.3500023,0.221585
48.36,0.1561,48.36,1.19185,48.3600006,0.1873628,48.3600006,0.2076766,48.3600006,0.2098342
48.37,0.15466,48.37,1.21114,48.3700027,0.1834502,48.3700027,0.1988415,48.3700027,0.2156709
48.38,0.15475,48.38,1.20759,48.3800011,0.1808183,48.3800011,0.2041901,48.3800011,0.2179365
48.39,0.1405,48.39,1.21456,48.3900032,0.181169,48.3900032,0.1877683,48.3900032,0.2206919
48.4,0.14358,48.4,1.21037,48.4000015,0.181668,48.4000015,0.1807355,48.4000015,0.2240261
48.41,0.13777,48.41,1.19369,48.4100037,0.1787682,48.4100037,0.1951312,48.4100037,0.2179717
48.42,0.15113,48.42,1.20791,48.420002,0.1822718,48.420002,0.1927982,48.420002,0.2156099
48.43,0.15213,48.43,1.20056,48.4300041,0.1820849,48.4300041,0.1977174,48.4300041,0.218565
48.44,0.14111,48.44,1.20308,48.4400024,0.1753228,48.4400024,0.1954501,48.4400024,0.2187207
48.45,0.14817,48.45,1.18845,48.4500008,0.1715994,48.4500008,0.2047732,48.4500008,0.2137081
48.46,0.15308,48.46,1.18595,48.4600029,0.1754103,48.4600029,0.2092677,48.4600029,0.2009724
48.47,0.16249,48.47,1.19514,48.4700012,0.1741813,48.4700012,0.2015187,48.4700012,0.2058234
48.48,0.16137,48.48,1.18215,48.4800034,0.1677029,48.4800034,0.213153,48.4800034,0.2096827
48.49,0.14344,48.49,1.19493,48.4900017,0.1726617,48.4900017,0.2171928,48.4900017,0.2054172
48.5,0.1444,48.5,1.2192,48.5000038,0.1738138,48.5000038,0.2171389,48.5000038,0.2167085
48.51,0.16525,48.51,1.19828,48.5100021,0.1726845,48.5100021,0.2027362,48.5100021,0.2155581
48.52,0.17047,48.52,1.20191,48.5200005,0.1856183,48.5200005,0.2128038,48.5200005,0.2146579
48.53,0.15079,48.53,1.20014,48.5300026,0.1761182,48.5300026,0.2142448,48.5300026,0.2147705
48.54,0.15996,48.54,1.20102,48.5400009,0.1814089,48.5400009,0.2152009,48.5400009,0.2168256
48.55,0.14988,48.55,1.18883,48.5500031,0.174083,48.5500031,0.1969792,48.5500031,0.2143832
48.56,0.14453,48.56,1.20979,48.5600014,0.1767831,48.5600014,0.1948139,48.5600014,0.2177386
48.57,0.14844,48.57,1.20418,48.5700035,0.1684697,48.5700035,0.2067297,48.5700035,0.2133045
48.58,0.14767,48.58,1.19418,48.5800018,0.1722727,48.5800018,0.1859892,48.5800018,0.2170388
