RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-100SOL-0ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-A-Gliadin-90SOL-10ETO.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-30percent.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-A-Gliadin-50ETO.xvg,RMSD-backbone-70percent.xvg,RMSD-backbone-70percent.xvg
0.61,0.0982,0.61,0.50906,0.61,0.0779861,0.61,0.0802727,0.61,0.092301
0.62,0.09668,0.62,0.49978,0.62,0.0895454,0.62,0.09182,0.62,0.0874324
0.63,0.09348,0.63,0.50344,0.6300001,0.0924916,0.6300001,0.0896319,0.6300001,0.0954566
0.64,0.08324,0.64,0.51264,0.64,0.1008822,0.64,0.0860647,0.64,0.1065263
0.65,0.08778,0.65,0.52201,0.65,0.097243,0.65,0.0953687,0.65,0.0995023
0.66,0.08433,0.66,0.51312,0.66,0.0926434,0.66,0.0943743,0.66,0.1047552
0.67,0.09021,0.67,0.50539,0.67,0.0948905,0.67,0.0966792,0.67,0.0988926
0.68,0.08434,0.68,0.48755,0.68,0.0884699,0.68,0.100445,0.68,0.0991831
0.69,0.08827,0.69,0.49676,0.6900001,0.0915072,0.6900001,0.0877862,0.6900001,0.0945191
0.7,0.08621,0.7,0.48623,0.7,0.1017937,0.7,0.0889207,0.7,0.1001705
0.71,0.08424,0.71,0.50893,0.71,0.0897391,0.71,0.1016165,0.71,0.096591
0.72,0.09601,0.72,0.49178,0.72,0.0967348,0.72,0.1001158,0.72,0.1044626
0.73,0.0883,0.73,0.50014,0.73,0.0940249,0.73,0.0980501,0.73,0.1077535
0.74,0.08895,0.74,0.50092,0.74,0.1012997,0.74,0.1049311,0.74,0.1143751
0.75,0.09074,0.75,0.5137,0.7500001,0.0890656,0.7500001,0.1016785,0.7500001,0.1103074
0.76,0.09376,0.76,0.50106,0.7600001,0.0967757,0.7600001,0.1071437,0.7600001,0.1036486
0.77,0.09341,0.77,0.47963,0.77,0.096965,0.77,0.1074606,0.77,0.0995251
0.78,0.10146,0.78,0.4946,0.78,0.098777,0.78,0.1026138,0.78,0.0915972
0.79,0.08264,0.79,0.49606,0.79,0.1092776,0.79,0.1027141,0.79,0.0929074
0.8,0.09378,0.8,0.50519,0.8,0.0939166,0.8,0.1015728,0.8,0.096446
0.81,0.10394,0.81,0.50796,0.8100001,0.0864863,0.8100001,0.1053327,0.8100001,0.1113488
0.82,0.1134,0.82,0.50264,0.8200001,0.0974398,0.8200001,0.0986213,0.8200001,0.0992464
0.83,0.11729,0.83,0.47994,0.83,0.0934841,0.83,0.0953113,0.83,0.1072178
0.84,0.10725,0.84,0.47428,0.84,0.0955803,0.84,0.09957,0.84,0.1095993
0.85,0.0996,0.85,0.48481,0.85,0.0909654,0.85,0.0949059,0.85,0.1042818
0.86,0.11261,0.86,0.46721,0.86,0.095681,0.86,0.1009731,0.86,0.1050142
0.87,0.10364,0.87,0.45656,0.8700001,0.0936046,0.8700001,0.1068092,0.8700001,0.0931153
0.88,0.105,0.88,0.45556,0.8800001,0.0957009,0.8800001,0.1089797,0.8800001,0.0951154
0.89,0.09356,0.89,0.47104,0.89,0.0976821,0.89,0.0981991,0.89,0.0995592
0.9,0.10986,0.9,0.44215,0.9,0.1055665,0.9,0.0953887,0.9,0.1080446
0.91,0.1183,0.91,0.46348,0.91,0.1061739,0.91,0.1029008,0.91,0.1105903
0.92,0.11996,0.92,0.45545,0.92,0.0968385,0.92,0.1059706,0.92,0.1198792
0.93,0.09859,0.93,0.46138,0.9300001,0.0970666,0.9300001,0.1022016,0.9300001,0.1046899
0.94,0.10155,0.94,0.44298,0.9400001,0.0961321,0.9400001,0.1002154,0.9400001,0.0997182
0.95,0.09496,0.95,0.4555,0.95,0.1080374,0.95,0.0943654,0.95,0.0994561
0.96,0.08631,0.96,0.45694,0.96,0.1069662,0.96,0.0899734,0.96,0.0999026
0.97,0.09051,0.97,0.45518,0.97,0.1121072,0.97,0.0944778,0.97,0.097022
0.98,0.10194,0.98,0.45188,0.98,0.1036586,0.98,0.0930079,0.98,0.101224
0.99,0.09987,0.99,0.45371,0.9900001,0.0957233,0.9900001,0.0956706,0.9900001,0.1072748
1,0.09931,1,0.47994,1,0.100001,1,0.0962304,1,0.098244
1.01,0.10558,1.01,0.48051,1.01,0.0908535,1.01,0.1001533,1.01,0.1045102
1.02,0.10268,1.02,0.47458,1.0200001,0.094721,1.0200001,0.1040375,1.0200001,0.0973703
1.03,0.10529,1.03,0.5061,1.0300001,0.0834975,1.0300001,0.1046283,1.0300001,0.1010384
1.04,0.1167,1.04,0.50882,1.0400001,0.0917877,1.0400001,0.1072159,1.0400001,0.0999521
1.05,0.10694,1.05,0.5083,1.0500001,0.0905527,1.0500001,0.1010315,1.0500001,0.1121946
1.06,0.09972,1.06,0.50168,1.0600001,0.0928599,1.0600001,0.1050007,1.0600001,0.1036905
1.07,0.10138,1.07,0.51569,1.0700001,0.0897813,1.0700001,0.1085609,1.0700001,0.0995901
1.08,0.10273,1.08,0.50685,1.08,0.0891479,1.08,0.1098746,1.08,0.1057115
1.09,0.09034,1.09,0.51626,1.09,0.0887421,1.09,0.0964294,1.09,0.1136381
1.1,0.09564,1.1,0.50083,1.1,0.0884321,1.1,0.0952185,1.1,0.1012081
1.11,0.09095,1.11,0.50926,1.11,0.0881421,1.11,0.0981386,1.11,0.1175344
1.12,0.10492,1.12,0.53328,1.12,0.1017443,1.12,0.1021517,1.12,0.1121414
1.13,0.09753,1.13,0.52859,1.13,0.1043019,1.13,0.0958924,1.13,0.1084701
1.14,0.10715,1.14,0.55168,1.1400001,0.1008907,1.1400001,0.1047723,1.1400001,0.105576
1.15,0.10198,1.15,0.55887,1.1500001,0.1034779,1.1500001,0.1145884,1.1500001,0.1099566
1.16,0.10807,1.16,0.55999,1.1600001,0.1045977,1.1600001,0.1080503,1.1600001,0.1135002
1.17,0.10686,1.17,0.54291,1.1700001,0.1271912,1.1700001,0.1039242,1.1700001,0.1209776
1.18,0.09963,1.18,0.53817,1.1800001,0.1184709,1.1800001,0.0972987,1.1800001,0.1065514
1.19,0.09302,1.19,0.51609,1.1900001,0.1249585,1.1900001,0.1031876,1.1900001,0.1196356
1.2,0.09801,1.2,0.50134,1.2,0.1327156,1.2,0.1003187,1.2,0.1109845
1.21,0.09804,1.21,0.50866,1.21,0.1306219,1.21,0.1099147,1.21,0.1134034
1.22,0.09725,1.22,0.48802,1.22,0.1183552,1.22,0.1031746,1.22,0.1068065
1.23,0.08719,1.23,0.48792,1.23,0.1261661,1.23,0.088744,1.23,0.1059421
1.24,0.09447,1.24,0.48615,1.24,0.133993,1.24,0.0887951,1.24,0.1138738
1.25,0.10052,1.25,0.49325,1.25,0.1241349,1.25,0.1068082,1.25,0.1142292
1.26,0.09556,1.26,0.52055,1.2600001,0.1192895,1.2600001,0.0955112,1.2600001,0.1065787
1.27,0.09764,1.27,0.49781,1.2700001,0.1125484,1.2700001,0.0921786,1.2700001,0.1083925
1.28,0.09811,1.28,0.49536,1.2800001,0.1170804,1.2800001,0.0943259,1.2800001,0.1151123
1.29,0.11863,1.29,0.48044,1.2900001,0.1036231,1.2900001,0.1039143,1.2900001,0.110076
1.3,0.10184,1.3,0.49857,1.3000001,0.1046185,1.3000001,0.1120016,1.3000001,0.1177624
1.31,0.10687,1.31,0.50289,1.3100001,0.1064012,1.3100001,0.1088785,1.3100001,0.1215507
1.32,0.11302,1.32,0.51205,1.3200001,0.1067678,1.3200001,0.1008651,1.3200001,0.1161986
1.33,0.12253,1.33,0.52494,1.33,0.1136317,1.33,0.1000591,1.33,0.1208513
1.34,0.11401,1.34,0.52858,1.34,0.0917347,1.34,0.1074162,1.34,0.1166715
1.35,0.11491,1.35,0.51791,1.35,0.0958597,1.35,0.1070049,1.35,0.1106854
1.36,0.10847,1.36,0.52299,1.36,0.118195,1.36,0.1063918,1.36,0.1035105
1.37,0.12899,1.37,0.53066,1.3700001,0.1194445,1.3700001,0.1128382,1.3700001,0.1090869
1.38,0.11122,1.38,0.54218,1.3800001,0.1188914,1.3800001,0.09856,1.3800001,0.1054232
1.39,0.11596,1.39,0.5462,1.3900001,0.1192578,1.3900001,0.1079369,1.3900001,0.1051927
1.4,0.12401,1.4,0.55585,1.4000001,0.1166302,1.4000001,0.1075108,1.4000001,0.0992444
1.41,0.11456,1.41,0.53762,1.4100001,0.1185431,1.4100001,0.0966641,1.4100001,0.1022169
1.42,0.11314,1.42,0.54952,1.4200001,0.1273873,1.4200001,0.1048987,1.4200001,0.097389
1.43,0.10413,1.43,0.54144,1.4300001,0.131432,1.4300001,0.1050251,1.4300001,0.111051
1.44,0.11241,1.44,0.52001,1.4400001,0.1261647,1.4400001,0.1060777,1.4400001,0.1083526
1.45,0.09573,1.45,0.53543,1.45,0.1289379,1.45,0.1067882,1.45,0.1048396
