48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
3.6900001,0.2870624,3.6900001,0.4596467,3.6900001,0.2339868,,3.6900001,0.1691749,3.6900001,0.0869888,3.6900001,0.1779532,,3.6900001,0.4182456,3.6900001,0.2332227,3.6900001,0.1909127
3.7000003,0.2780694,3.7000003,0.4494922,3.7000003,0.2274316,,3.7000003,0.1624759,3.7000003,0.0960248,3.7000003,0.1791336,,3.7000003,0.4079736,3.7000003,0.2208334,3.7000003,0.1852682
3.7100003,0.2736078,3.7100003,0.4470642,3.7100003,0.2230132,,3.7100003,0.1596086,3.7100003,0.106425,3.7100003,0.1855392,,3.7100003,0.4046834,3.7100003,0.2151821,3.7100003,0.1803068
3.7200003,0.2606201,3.7200003,0.4578983,3.7200003,0.2205334,,3.7200003,0.1592402,3.7200003,0.1131598,3.7200003,0.1587137,,3.7200003,0.4152254,3.7200003,0.2010026,3.7200003,0.1768996
3.7300003,0.2763114,3.7300003,0.4494769,3.7300003,0.2199041,,3.7300003,0.1689967,3.7300003,0.100577,3.7300003,0.1802356,,3.7300003,0.4064116,3.7300003,0.2246019,3.7300003,0.1769422
3.7400002,0.2719828,3.7400002,0.4505973,3.7400002,0.2194262,,3.7400002,0.1580823,3.7400002,0.131695,3.7400002,0.1622773,,3.7400002,0.4081783,3.7400002,0.2214985,3.7400002,0.1760659
3.7500002,0.2736006,3.7500002,0.4558676,3.7500002,0.2135738,,3.7500002,0.1629678,3.7500002,0.1161129,3.7500002,0.1647614,,3.7500002,0.4142495,3.7500002,0.2241066,3.7500002,0.1710211
3.7600002,0.2830897,3.7600002,0.4525521,3.7600002,0.2138876,,3.7600002,0.1523985,3.7600002,0.1592922,3.7600002,0.1616052,,3.7600002,0.4104005,3.7600002,0.2337358,3.7600002,0.17078
3.7700002,0.2800431,3.7700002,0.4567267,3.7700002,0.2264982,,3.7700002,0.1683544,3.7700002,0.1376137,3.7700002,0.1671875,,3.7700002,0.4146871,3.7700002,0.2341237,3.7700002,0.187893
3.7800002,0.278971,3.7800002,0.4691924,3.7800002,0.2231817,,3.7800002,0.168203,3.7800002,0.1515035,3.7800002,0.1857062,,3.7800002,0.4287586,3.7800002,0.2324479,3.7800002,0.1836923
3.7900002,0.2860244,3.7900002,0.4621554,3.7900002,0.2265515,,3.7900002,0.154522,3.7900002,0.1361229,3.7900002,0.1951652,,3.7900002,0.4203549,3.7900002,0.2353964,3.7900002,0.1864046
3.8000002,0.2704365,3.8000002,0.4658616,3.8000002,0.230858,,3.8000002,0.1559632,3.8000002,0.1531784,3.8000002,0.1788175,,3.8000002,0.4246907,3.8000002,0.2184602,3.8000002,0.1899875
3.8100002,0.2665689,3.8100002,0.4655236,3.8100002,0.2356423,,3.8100002,0.1613417,3.8100002,0.153411,3.8100002,0.1910796,,3.8100002,0.4239976,3.8100002,0.2182991,3.8100002,0.1974652
3.8200002,0.2750152,3.8200002,0.4674543,3.8200002,0.2306808,,3.8200002,0.1503847,3.8200002,0.1545396,3.8200002,0.1654531,,3.8200002,0.4266549,3.8200002,0.2266711,3.8200002,0.1901872
3.8300002,0.2842696,3.8300002,0.4627235,3.8300002,0.2258924,,3.8300002,0.1696462,3.8300002,0.1653546,3.8300002,0.1615587,,3.8300002,0.4223861,3.8300002,0.2353436,3.8300002,0.1848767
3.8400002,0.2807333,3.8400002,0.4671091,3.8400002,0.2225599,,3.8400002,0.1624967,3.8400002,0.1796781,3.8400002,0.1660568,,3.8400002,0.4273347,3.8400002,0.2312877,3.8400002,0.1827235
3.8500001,0.2994843,3.8500001,0.4614247,3.8500001,0.2293408,,3.8500001,0.1488003,3.8500001,0.167846,3.8500001,0.1715273,,3.8500001,0.4208231,3.8500001,0.2511754,3.8500001,0.1914127
3.8600001,0.2999303,3.8600001,0.4460596,3.8600001,0.2437425,,3.8600001,0.1490339,3.8600001,0.1972712,3.8600001,0.1948313,,3.8600001,0.4045998,3.8600001,0.2529123,3.8600001,0.2084201
3.8700001,0.2795556,3.8700001,0.457486,3.8700001,0.239882,,3.8700001,0.1495458,3.8700001,0.210856,3.8700001,0.1819751,,3.8700001,0.4168594,3.8700001,0.230024,3.8700001,0.2041468
3.8800001,0.2527924,3.8800001,0.4652039,3.8800001,0.2530903,,3.8800001,0.1494128,3.8800001,0.1839769,3.8800001,0.1534373,,3.8800001,0.4249159,3.8800001,0.1978883,3.8800001,0.2200281
3.8900001,0.2527798,3.8900001,0.4602124,3.8900001,0.2396076,,3.8900001,0.1545768,3.8900001,0.2185183,3.8900001,0.1381886,,3.8900001,0.4193262,3.8900001,0.1986269,3.8900001,0.2035724
3.9000001,0.2703153,3.9000001,0.4641249,3.9000001,0.2459174,,3.9000001,0.1561553,3.9000001,0.1531698,3.9000001,0.1512982,,3.9000001,0.422598,3.9000001,0.2191013,3.9000001,0.210868
3.9100001,0.2752017,3.9100001,0.4622025,3.9100001,0.234222,,3.9100001,0.1634663,3.9100001,0.1540028,3.9100001,0.174289,,3.9100001,0.4209988,3.9100001,0.2156829,3.9100001,0.1961813
3.9200001,0.2696159,3.9200001,0.4651303,3.9200001,0.2351545,,3.9200001,0.1409958,3.9200001,0.1326461,3.9200001,0.16216,,3.9200001,0.4243984,3.9200001,0.2126,3.9200001,0.1951065
3.9300003,0.2842306,3.9300003,0.4546632,3.9300003,0.2388973,,3.9300003,0.1550315,3.9300003,0.1206053,3.9300003,0.1636157,,3.9300003,0.4140624,3.9300003,0.2310408,3.9300003,0.2014942
3.9400003,0.2676302,3.9400003,0.4612749,3.9400003,0.2350819,,3.9400003,0.1560624,3.9400003,0.143358,3.9400003,0.1581651,,3.9400003,0.421647,3.9400003,0.2143098,3.9400003,0.1960177
3.9500003,0.2850908,3.9500003,0.4436687,3.9500003,0.2373974,,3.9500003,0.1596759,3.9500003,0.1407735,3.9500003,0.1473235,,3.9500003,0.4019044,3.9500003,0.2325236,3.9500003,0.1956986
3.9600003,0.2755918,3.9600003,0.444829,3.9600003,0.2324136,,3.9600003,0.1598626,3.9600003,0.1498003,3.9600003,0.1713741,,3.9600003,0.4039853,3.9600003,0.2215588,3.9600003,0.192552
3.9700003,0.2725372,3.9700003,0.4390283,3.9700003,0.2366857,,3.9700003,0.1543813,3.9700003,0.1801078,3.9700003,0.1767801,,3.9700003,0.3996506,3.9700003,0.2198419,3.9700003,0.1949711
3.9800003,0.2802104,3.9800003,0.4506536,3.9800003,0.2434316,,3.9800003,0.1509962,3.9800003,0.1131981,3.9800003,0.1697271,,3.9800003,0.4109967,3.9800003,0.2265995,3.9800003,0.2028301
3.9900002,0.2524073,3.9900002,0.4571292,3.9900002,0.2375333,,3.9900002,0.1592279,3.9900002,0.1407151,3.9900002,0.1678865,,3.9900002,0.4174746,3.9900002,0.1937943,3.9900002,0.1978695
4,0.2631787,4,0.4540932,4,0.2218871,,4,0.162565,4,0.1576084,4,0.1328752,,4,0.4133753,4,0.2115258,4,0.1796935
4.0100002,0.2794603,4.0100002,0.4494748,4.0100002,0.2246097,,4.0100002,0.1616739,4.0100002,0.1592057,4.0100002,0.1604797,,4.0100002,0.4087546,4.0100002,0.2294568,4.0100002,0.1825147
4.02,0.291039,4.02,0.4578465,4.02,0.219227,,4.02,0.1478555,4.02,0.158669,4.02,0.189184,,4.02,0.4178866,4.02,0.2453184,4.02,0.1746708
4.0300002,0.2545931,4.0300002,0.4425352,4.0300002,0.2252288,,4.0300002,0.1625212,4.0300002,0.1574506,4.0300002,0.1919212,,4.0300002,0.401511,4.0300002,0.2032052,4.0300002,0.1844959
4.04,0.243641,4.04,0.4472418,4.04,0.2173364,,4.04,0.1689691,4.04,0.1719094,4.04,0.1891968,,4.04,0.4064773,4.04,0.1945925,4.04,0.1759023
4.0500002,0.2326776,4.0500002,0.4471132,4.0500002,0.2238041,,4.0500002,0.1566521,4.0500002,0.147767,4.0500002,0.1848373,,4.0500002,0.405667,4.0500002,0.18022,4.0500002,0.1818055
4.0600004,0.2557305,4.0600004,0.4467302,4.0600004,0.2356163,,4.0600004,0.1505871,4.0600004,0.1666071,4.0600004,0.1853309,,4.0600004,0.4059102,4.0600004,0.2048628,4.0600004,0.1946719
4.0700002,0.256677,4.0700002,0.4411024,4.0700002,0.225075,,4.0700002,0.1569649,4.0700002,0.1474867,4.0700002,0.1961611,,4.0700002,0.3994317,4.0700002,0.204408,4.0700002,0.1820669
4.0800004,0.2772615,4.0800004,0.4460011,4.0800004,0.2265637,,4.0800004,0.1554729,4.0800004,0.1625846,4.0800004,0.1872183,,4.0800004,0.4037049,4.0800004,0.2255555,4.0800004,0.1845574
4.0900002,0.289335,4.0900002,0.4362785,4.0900002,0.2382538,,4.0900002,0.1619215,4.0900002,0.1650049,4.0900002,0.1815177,,4.0900002,0.3936911,4.0900002,0.2404207,4.0900002,0.1999101
4.1000004,0.2968033,4.1000004,0.4299326,4.1000004,0.2340485,,4.1000004,0.1482121,4.1000004,0.1555802,4.1000004,0.1754058,,4.1000004,0.3857048,4.1000004,0.2523441,4.1000004,0.1947628
4.1100001,0.2999454,4.1100001,0.4285901,4.1100001,0.225867,,4.1100001,0.1480967,4.1100001,0.1411722,4.1100001,0.1707837,,4.1100001,0.3849143,4.1100001,0.2516899,4.1100001,0.1849321
4.1200004,0.273277,4.1200004,0.4304231,4.1200004,0.2154338,,4.1200004,0.1547441,4.1200004,0.1449492,4.1200004,0.1891204,,4.1200004,0.3873442,4.1200004,0.2238598,4.1200004,0.1749879
4.1300001,0.2737516,4.1300001,0.4257411,4.1300001,0.2145961,,4.1300001,0.1461312,4.1300001,0.1520707,4.1300001,0.183324,,4.1300001,0.3821874,4.1300001,0.2188901,4.1300001,0.1696935
4.1400003,0.2560565,4.1400003,0.4267342,4.1400003,0.2282969,,4.1400003,0.1551227,4.1400003,0.1506643,4.1400003,0.1934034,,4.1400003,0.3822899,4.1400003,0.1999169,4.1400003,0.1867137
4.1500001,0.2657176,4.1500001,0.4298615,4.1500001,0.2180782,,4.1500001,0.1659995,4.1500001,0.1455763,4.1500001,0.161203,,4.1500001,0.3851606,4.1500001,0.2103374,4.1500001,0.1744413
4.1600003,0.2429482,4.1600003,0.4345168,4.1600003,0.2100398,,4.1600003,0.1591424,4.1600003,0.1424179,4.1600003,0.1759318,,4.1600003,0.3906854,4.1600003,0.1833989,4.1600003,0.1637454
4.1700001,0.2660455,4.1700001,0.4283794,4.1700001,0.219709,,4.1700001,0.1455938,4.1700001,0.1627389,4.1700001,0.1998273,,4.1700001,0.3846993,4.1700001,0.2114372,4.1700001,0.1783337
4.1800003,0.2702049,4.1800003,0.4187956,4.1800003,0.2237198,,4.1800003,0.1631401,4.1800003,0.1742559,4.1800003,0.1952479,,4.1800003,0.3737151,4.1800003,0.2136897,4.1800003,0.1813772
4.1900001,0.2710436,4.1900001,0.432788,4.1900001,0.2205836,,4.1900001,0.1564124,4.1900001,0.2293426,4.1900001,0.1916959,,4.1900001,0.3896464,4.1900001,0.2133726,4.1900001,0.1808077
4.2000003,0.2718273,4.2000003,0.4295339,4.2000003,0.2250602,,4.2000003,0.15243,4.2000003,0.2381743,4.2000003,0.18271,,4.2000003,0.386529,4.2000003,0.2181586,4.2000003,0.1864942
4.21,0.2643259,4.21,0.4240212,4.21,0.2327204,,4.21,0.1588135,4.21,0.2484969,4.21,0.1841291,,4.21,0.3801325,4.21,0.2033793,4.21,0.1956016
4.2200003,0.271255,4.2200003,0.4190164,4.2200003,0.2346517,,4.2200003,0.1617825,4.2200003,0.2165508,4.2200003,0.1821055,,4.2200003,0.3739172,4.2200003,0.2110297,4.2200003,0.1987314
4.23,0.2700686,4.23,0.4273311,4.23,0.231382,,4.23,0.1584564,4.23,0.2404962,4.23,0.1593748,,4.23,0.3826128,4.23,0.2145132,4.23,0.1937079
4.2400002,0.2649306,4.2400002,0.4282414,4.2400002,0.225359,,4.2400002,0.1603347,4.2400002,0.234884,4.2400002,0.1649916,,4.2400002,0.3835914,4.2400002,0.2088012,4.2400002,0.1851894
4.25,0.275587,4.25,0.4295027,4.25,0.2251852,,4.25,0.1567984,4.25,0.2162978,4.25,0.1774163,,4.25,0.3847907,4.25,0.2236834,4.25,0.186647
4.2600002,0.2727477,4.2600002,0.4260483,4.2600002,0.2298902,,4.2600002,0.1614198,4.2600002,0.25467,4.2600002,0.1683754,,4.2600002,0.3805159,4.2600002,0.2173901,4.2600002,0.188427
4.27,0.27054,4.27,0.4264944,4.27,0.2279821,,4.27,0.1492446,4.27,0.2243026,4.27,0.1695569,,4.27,0.3820178,4.27,0.2167425,4.27,0.190409
4.2800002,0.2739212,4.2800002,0.4305317,4.2800002,0.2248507,,4.2800002,0.1553542,4.2800002,0.2382463,4.2800002,0.2074475,,4.2800002,0.3857338,4.2800002,0.2183737,4.2800002,0.184651
4.2900004,0.2607078,4.2900004,0.4370463,4.2900004,0.2296565,,4.2900004,0.1601277,4.2900004,0.2282498,4.2900004,0.1855212,,4.2900004,0.3925489,4.2900004,0.2045856,4.2900004,0.1896562
4.3000002,0.2597274,4.3000002,0.4358473,4.3000002,0.2307936,,4.3000002,0.1616669,4.3000002,0.2264133,4.3000002,0.200834,,4.3000002,0.3916932,4.3000002,0.207489,4.3000002,0.189338
4.3100004,0.2533441,4.3100004,0.4357267,4.3100004,0.2208177,,4.3100004,0.1560374,4.3100004,0.2328105,4.3100004,0.2033745,,4.3100004,0.391343,4.3100004,0.2083452,4.3100004,0.1776356
4.3200002,0.2636802,4.3200002,0.4309777,4.3200002,0.2265804,,4.3200002,0.1560657,4.3200002,0.2575683,4.3200002,0.2059743,,4.3200002,0.3866499,4.3200002,0.2215323,4.3200002,0.185124
4.3300004,0.2574477,4.3300004,0.4272547,4.3300004,0.2256204,,4.3300004,0.160051,4.3300004,0.2004653,4.3300004,0.2299799,,4.3300004,0.3828984,4.3300004,0.2098854,4.3300004,0.1867002
4.3400002,0.2689276,4.3400002,0.4410604,4.3400002,0.2254906,,4.3400002,0.1751426,4.3400002,0.2538974,4.3400002,0.2149878,,4.3400002,0.3963048,4.3400002,0.2175423,4.3400002,0.1856996
4.3500004,0.2516979,4.3500004,0.4449659,4.3500004,0.2265442,,4.3500004,0.1389592,4.3500004,0.2712005,4.3500004,0.2089331,,4.3500004,0.4015661,4.3500004,0.196565,4.3500004,0.1851767
4.3600001,0.2604921,4.3600001,0.4420811,4.3600001,0.2347369,,4.3600001,0.1568289,4.3600001,0.21961,4.3600001,0.2206705,,4.3600001,0.3982689,4.3600001,0.2114194,4.3600001,0.1953841
4.3700004,0.2616735,4.3700004,0.4346614,4.3700004,0.2365925,,4.3700004,0.1623579,4.3700004,0.2156099,4.3700004,0.2173454,,4.3700004,0.3898635,4.3700004,0.2143148,4.3700004,0.1989766
4.3800001,0.2769373,4.3800001,0.4352423,4.3800001,0.2233185,,4.3800001,0.1658085,4.3800001,0.2148939,4.3800001,0.2315285,,4.3800001,0.3895776,4.3800001,0.2322332,4.3800001,0.1823977
4.3900003,0.2638646,4.3900003,0.4431073,4.3900003,0.2192554,,4.3900003,0.1709312,4.3900003,0.216701,4.3900003,0.248317,,4.3900003,0.3980584,4.3900003,0.2157024,4.3900003,0.1754709
4.4000001,0.2662375,4.4000001,0.4439666,4.4000001,0.2151465,,4.4000001,0.1457647,4.4000001,0.2153745,4.4000001,0.2085961,,4.4000001,0.3989562,4.4000001,0.2186432,4.4000001,0.1712746
4.4100003,0.2705166,4.4100003,0.4393896,4.4100003,0.2226145,,4.4100003,0.1290156,4.4100003,0.2526924,4.4100003,0.2201589,,4.4100003,0.3950661,4.4100003,0.2243241,4.4100003,0.1812828
4.4200001,0.2638204,4.4200001,0.4414303,4.4200001,0.2249323,,4.4200001,0.1192159,4.4200001,0.2315302,4.4200001,0.2098968,,4.4200001,0.3973445,4.4200001,0.2158045,4.4200001,0.1843552
4.4300003,0.2768531,4.4300003,0.4492774,4.4300003,0.223755,,4.4300003,0.1290785,4.4300003,0.2245724,4.4300003,0.2112943,,4.4300003,0.4066384,4.4300003,0.2283633,4.4300003,0.1817985
4.4400001,0.2750388,4.4400001,0.4511942,4.4400001,0.2267019,,4.4400001,0.1184908,4.4400001,0.2416646,4.4400001,0.2058521,,4.4400001,0.4082245,4.4400001,0.2230036,4.4400001,0.184868
4.4500003,0.288719,4.4500003,0.4420332,4.4500003,0.2196579,,4.4500003,0.128766,4.4500003,0.2381423,4.4500003,0.2108808,,4.4500003,0.3977875,4.4500003,0.2423778,4.4500003,0.1768529
4.46,0.3065776,4.46,0.4490381,4.46,0.2124326,,4.46,0.1617979,4.46,0.2587016,4.46,0.2270581,,4.46,0.4056252,4.46,0.2610324,4.46,0.1685665
4.4700003,0.2922322,4.4700003,0.454363,4.4700003,0.2143509,,4.4700003,0.1580147,4.4700003,0.2687537,4.4700003,0.2204022,,4.4700003,0.4116769,4.4700003,0.2459174,4.4700003,0.1711641
4.48,0.3001344,4.48,0.4557227,4.48,0.2152793,,4.48,0.1662244,4.48,0.2279344,4.48,0.2182797,,4.48,0.4144697,4.48,0.2597425,4.48,0.1683366
4.4900002,0.2893851,4.4900002,0.4583405,4.4900002,0.2191851,,4.4900002,0.1475213,4.4900002,0.2237287,4.4900002,0.2002697,,4.4900002,0.415701,4.4900002,0.2465718,4.4900002,0.1738471
4.5,0.2743164,4.5,0.4647503,4.5,0.2231142,,4.5,0.1594468,4.5,0.2327745,4.5,0.2228665,,4.5,0.4233435,4.5,0.2269773,4.5,0.1801265
4.5100002,0.2725579,4.5100002,0.4605893,4.5100002,0.2160683,,4.5100002,0.1570611,4.5100002,0.2246104,4.5100002,0.2192097,,4.5100002,0.4187205,4.5100002,0.2252712,4.5100002,0.1709766
4.52,0.2764943,4.52,0.4641607,4.52,0.2228237,,4.52,0.1344743,4.52,0.2051243,4.52,0.2029949,,4.52,0.4225642,4.52,0.2273077,4.52,0.1775019
4.5300002,0.3103819,4.5300002,0.4660149,4.5300002,0.2252552,,4.5300002,0.1556727,4.5300002,0.2447819,4.5300002,0.2182151,,4.5300002,0.4252991,4.5300002,0.2643169,4.5300002,0.1817392
4.5400004,0.2966895,4.5400004,0.4626961,4.5400004,0.2257351,,4.5400004,0.1597175,4.5400004,0.2286141,4.5400004,0.2000655,,4.5400004,0.421483,4.5400004,0.2503883,4.5400004,0.1799401
4.5500002,0.3018403,4.5500002,0.4545661,4.5500002,0.2282791,,4.5500002,0.1584596,4.5500002,0.1772699,4.5500002,0.2116873,,4.5500002,0.413041,4.5500002,0.2595837,4.5500002,0.1818989
4.5600004,0.2803663,4.5600004,0.4512332,4.5600004,0.2210934,,4.5600004,0.1663109,4.5600004,0.1825223,4.5600004,0.2230781,,4.5600004,0.4098596,4.5600004,0.2387975,4.5600004,0.1770888
4.5700002,0.2622208,4.5700002,0.4471717,4.5700002,0.221688,,4.5700002,0.1626086,4.5700002,0.1904547,4.5700002,0.1933902,,4.5700002,0.4056232,4.5700002,0.2217293,4.5700002,0.1796118
4.5800004,0.2698487,4.5800004,0.446321,4.5800004,0.2258559,,4.5800004,0.1475418,4.5800004,0.2086053,4.5800004,0.2017078,,4.5800004,0.4054561,4.5800004,0.2296061,4.5800004,0.1826182
4.5900002,0.2708537,4.5900002,0.4604371,4.5900002,0.228629,,4.5900002,0.1546651,4.5900002,0.2051675,4.5900002,0.2116241,,4.5900002,0.4192538,4.5900002,0.2295297,4.5900002,0.186452
4.6000004,0.276809,4.6000004,0.4608002,4.6000004,0.2176387,,4.6000004,0.1630994,4.6000004,0.1958547,4.6000004,0.1990598,,4.6000004,0.4193014,4.6000004,0.2342411,4.6000004,0.1750227
4.6100001,0.2826692,4.6100001,0.4510314,4.6100001,0.2132287,,4.6100001,0.1661861,4.6100001,0.2166036,4.6100001,0.2122575,,4.6100001,0.408384,4.6100001,0.2421958,4.6100001,0.1693844
4.6200004,0.2865139,4.6200004,0.4530952,4.6200004,0.2159618,,4.6200004,0.160762,4.6200004,0.2098932,4.6200004,0.1978405,,4.6200004,0.4115164,4.6200004,0.2441552,4.6200004,0.1750204
4.6300001,0.2833195,4.6300001,0.443954,4.6300001,0.2145543,,4.6300001,0.1579669,4.6300001,0.2096708,4.6300001,0.209441,,4.6300001,0.4015246,4.6300001,0.2392779,4.6300001,0.1719169
4.6400003,0.2690514,4.6400003,0.4501139,4.6400003,0.2103716,,4.6400003,0.1644287,4.6400003,0.2028448,4.6400003,0.2175782,,4.6400003,0.4080673,4.6400003,0.2179036,4.6400003,0.1661128
4.6500001,0.2573664,4.6500001,0.4465177,4.6500001,0.2053929,,4.6500001,0.1693756,4.6500001,0.1998384,4.6500001,0.207218,,4.6500001,0.4044252,4.6500001,0.2056117,4.6500001,0.1588503
4.6600003,0.2595755,4.6600003,0.4507378,4.6600003,0.2035064,,4.6600003,0.1717783,4.6600003,0.1953816,4.6600003,0.2119497,,4.6600003,0.4087981,4.6600003,0.2045983,4.6600003,0.1577633
4.6700001,0.2762314,4.6700001,0.4547643,4.6700001,0.2078295,,4.6700001,0.1649162,4.6700001,0.2290777,4.6700001,0.2057055,,4.6700001,0.4131978,4.6700001,0.230537,4.6700001,0.161574
4.6800003,0.278907,4.6800003,0.460791,4.6800003,0.214149,,4.6800003,0.1675033,4.6800003,0.2075921,4.6800003,0.2228212,,4.6800003,0.4189382,4.6800003,0.229972,4.6800003,0.1698369
4.6900001,0.301699,4.6900001,0.4627321,4.6900001,0.2088117,,4.6900001,0.1700884,4.6900001,0.2429815,4.6900001,0.2024741,,4.6900001,0.4207162,4.6900001,0.2547383,4.6900001,0.1658044
4.7000003,0.2982592,4.7000003,0.4665882,4.7000003,0.2158009,,4.7000003,0.1689042,4.7000003,0.2278203,4.7000003,0.2176563,,4.7000003,0.4254524,4.7000003,0.2517759,4.7000003,0.172282
4.71,0.3122431,4.71,0.4735968,4.71,0.2122427,,4.71,0.1615779,4.71,0.2046566,4.71,0.1997949,,4.71,0.4322124,4.71,0.2644333,4.71,0.1704298
4.7200003,0.3013109,4.7200003,0.4760899,4.7200003,0.2115283,,4.7200003,0.164025,4.7200003,0.1918739,4.7200003,0.2079066,,4.7200003,0.4349769,4.7200003,0.2513894,4.7200003,0.1694318
4.73,0.2973067,4.73,0.4798711,4.73,0.2069348,,4.73,0.1739141,4.73,0.2008436,4.73,0.2021641,,4.73,0.4398513,4.73,0.2504852,4.73,0.1624916
4.7400002,0.2926141,4.7400002,0.4811105,4.7400002,0.2012666,,4.7400002,0.1557352,4.7400002,0.2035161,4.7400002,0.2214377,,4.7400002,0.4395022,4.7400002,0.2432503,4.7400002,0.1567685
4.75,0.2956123,4.75,0.48359,4.75,0.2094699,,4.75,0.162677,4.75,0.1888716,4.75,0.2137116,,4.75,0.4419943,4.75,0.2467699,4.75,0.1678145
4.7600002,0.2977457,4.7600002,0.4904788,4.7600002,0.210225,,4.7600002,0.1588313,4.7600002,0.1938225,4.7600002,0.2177376,,4.7600002,0.4493282,4.7600002,0.2489699,4.7600002,0.1670611
4.7700005,0.2949418,4.7700005,0.4946335,4.7700005,0.200433,,4.7700005,0.1610056,4.7700005,0.2140334,4.7700005,0.203292,,4.7700005,0.4530341,4.7700005,0.2450058,4.7700005,0.1555961
4.7800002,0.2898796,4.7800002,0.493308,4.7800002,0.2132605,,4.7800002,0.1601158,4.7800002,0.2032076,4.7800002,0.1987934,,4.7800002,0.4512705,4.7800002,0.2407282,4.7800002,0.1665256
4.7900004,0.3058962,4.7900004,0.4823205,4.7900004,0.2040192,,4.7900004,0.1686724,4.7900004,0.197101,4.7900004,0.209348,,4.7900004,0.4398664,4.7900004,0.2612759,4.7900004,0.1596932
4.8000002,0.3081143,4.8000002,0.4774258,4.8000002,0.2132776,,4.8000002,0.1380801,4.8000002,0.212052,4.8000002,0.2023588,,4.8000002,0.4346755,4.8000002,0.2630781,4.8000002,0.1674001
4.8100004,0.3097555,4.8100004,0.4783229,4.8100004,0.2187065,,4.8100004,0.147519,4.8100004,0.1877795,4.8100004,0.2001596,,4.8100004,0.4358461,4.8100004,0.2676296,4.8100004,0.1754038
4.8200002,0.2887823,4.8200002,0.4828696,4.8200002,0.2161324,,4.8200002,0.1521257,4.8200002,0.1871193,4.8200002,0.209262,,4.8200002,0.4395716,4.8200002,0.2386515,4.8200002,0.1723348
4.8300004,0.3026649,4.8300004,0.4823975,4.8300004,0.2142439,,4.8300004,0.1570329,4.8300004,0.2047249,4.8300004,0.2045839,,4.8300004,0.4395947,4.8300004,0.255326,4.8300004,0.1685459
4.8400002,0.2982237,4.8400002,0.4810932,4.8400002,0.2201108,,4.8400002,0.1589177,4.8400002,0.2431923,4.8400002,0.211914,,4.8400002,0.4390792,4.8400002,0.2519945,4.8400002,0.1754611
4.8500004,0.3005196,4.8500004,0.4719701,4.8500004,0.214741,,4.8500004,0.1384693,4.8500004,0.2316861,4.8500004,0.2082316,,4.8500004,0.4292519,4.8500004,0.2560278,4.8500004,0.1706418
4.8600001,0.2893408,4.8600001,0.4678615,4.8600001,0.2207837,,4.8600001,0.1415701,4.8600001,0.1813017,4.8600001,0.2077544,,4.8600001,0.4257384,4.8600001,0.2367235,4.8600001,0.1766033
4.8700004,0.2704615,4.8700004,0.4707287,4.8700004,0.2182982,,4.8700004,0.1471867,4.8700004,0.1939246,4.8700004,0.1995722,,4.8700004,0.4275929,4.8700004,0.2163892,4.8700004,0.173799
4.8800001,0.2888823,4.8800001,0.4683967,4.8800001,0.2194524,,4.8800001,0.1569796,4.8800001,0.200686,4.8800001,0.1901004,,4.8800001,0.4251046,4.8800001,0.2396996,4.8800001,0.1731913
4.8900003,0.3166392,4.8900003,0.4862702,4.8900003,0.2154988,,4.8900003,0.1569197,4.8900003,0.199209,4.8900003,0.2093558,,4.8900003,0.4448974,4.8900003,0.2708789,4.8900003,0.1689102
4.9000001,0.3151864,4.9000001,0.485257,4.9000001,0.2106509,,4.9000001,0.1556306,4.9000001,0.1856395,4.9000001,0.2012895,,4.9000001,0.4437628,4.9000001,0.2691265,4.9000001,0.1630525
4.9100003,0.3495036,4.9100003,0.4858946,4.9100003,0.2153765,,4.9100003,0.1398297,4.9100003,0.1719524,4.9100003,0.1955911,,4.9100003,0.4452941,4.9100003,0.3023854,4.9100003,0.1686191
4.9200001,0.3063584,4.9200001,0.4774483,4.9200001,0.2218124,,4.9200001,0.15464,4.9200001,0.1945302,4.9200001,0.2063645,,4.9200001,0.4353782,4.9200001,0.2560292,4.9200001,0.1746936
4.9300003,0.2920275,4.9300003,0.4882745,4.9300003,0.2249933,,4.9300003,0.1478978,4.9300003,0.1845326,4.9300003,0.2116998,,4.9300003,0.4474614,4.9300003,0.2402933,4.9300003,0.1784915
4.9400001,0.2931755,4.9400001,0.4800343,4.9400001,0.2264163,,4.9400001,0.1511921,4.9400001,0.2133104,4.9400001,0.2033395,,4.9400001,0.4378233,4.9400001,0.2458389,4.9400001,0.1802347
4.9500003,0.3044694,4.9500003,0.486948,4.9500003,0.2235447,,4.9500003,0.1464892,4.9500003,0.1813599,4.9500003,0.1890205,,4.9500003,0.4460545,4.9500003,0.2590409,4.9500003,0.1775536
4.96,0.3094529,4.96,0.4850075,4.96,0.2284147,,4.96,0.1406097,4.96,0.1871178,4.96,0.194159,,4.96,0.4426183,4.96,0.2656643,4.96,0.1854067
