48601-RMSD-potein-potein-xvgx,48601-RMSD-potein-potein-xvgy1,4860-rmsd-potein-potein.xvg,4860-rmsd-potein-potein-xvgy2,5018-rmsd-potein-potein.xvg,5018-rmsd-potein-xvgy3,,5018-RMSD-lig-ligx,5018-RMSD-lig-ligy1,48601-RMSD-lig-lig.xvg,48601-RMSD-lig-ligy2,4860-rmsd-lig-lig.xvg,4860-rmsd-lig-ligy3,,4860-rmsd-backbond-backbond.xvg,4860-rmsd-backbond-backbond.xvg,48601-rmsd-backbond.xvg,48601-rmsd-backbond.xvg,5018-RMSD-backbond-backbond.xvg,5018-RMSD-backbond-backbond.xvg
0.31,0.2033116,0.31,0.2990857,0.31,0.189906,,0.31,0.1183012,0.31,0.137739,0.31,0.1395166,,0.31,0.2598522,0.31,0.1607396,0.31,0.1522273
0.32,0.1932862,0.32,0.2940264,0.32,0.1869307,,0.32,0.1306663,0.32,0.1228895,0.32,0.1189411,,0.32,0.2536553,0.32,0.1493207,0.32,0.1457659
0.33,0.2120217,0.33,0.2969816,0.33,0.1905224,,0.33,0.1074095,0.33,0.1389134,0.33,0.132084,,0.33,0.2569675,0.33,0.1707169,0.33,0.145764
0.34,0.2088343,0.34,0.2986909,0.34,0.2027576,,0.34,0.1614937,0.34,0.1407902,0.34,0.1072757,,0.34,0.2587109,0.34,0.169129,0.34,0.1594446
0.35,0.2146249,0.35,0.3084214,0.35,0.1951457,,0.35,0.1194339,0.35,0.1505124,0.35,0.0960563,,0.35,0.2694264,0.35,0.174079,0.35,0.1470101
0.36,0.2096815,0.36,0.3091845,0.36,0.2047095,,0.36,0.1411329,0.36,0.1408497,0.36,0.1337417,,0.36,0.2687592,0.36,0.1658451,0.36,0.1583574
0.37,0.2091701,0.37,0.3130369,0.37,0.2085105,,0.37,0.1660014,0.37,0.1293024,0.37,0.1242511,,0.37,0.2735781,0.37,0.1624222,0.37,0.1637744
0.38,0.2141362,0.38,0.3093021,0.38,0.2061722,,0.38,0.1687892,0.38,0.1404938,0.38,0.1069642,,0.38,0.2694222,0.38,0.1681788,0.38,0.1581924
0.39,0.2343468,0.39,0.3028249,0.39,0.1996364,,0.39,0.1543808,0.39,0.0818924,0.39,0.0986205,,0.39,0.2620686,0.39,0.1927713,0.39,0.1540411
0.4,0.2121885,0.4,0.3044715,0.4,0.2005736,,0.4,0.1639639,0.4,0.1219473,0.4,0.1105222,,0.4,0.2641248,0.4,0.1687477,0.4,0.1517824
0.41,0.2090196,0.41,0.3151918,0.41,0.2040614,,0.41,0.1677862,0.41,0.1037272,0.41,0.1276969,,0.41,0.2757573,0.41,0.1673074,0.41,0.1545514
0.42,0.203803,0.42,0.3109839,0.42,0.2089705,,0.42,0.1625713,0.42,0.1259146,0.42,0.1434137,,0.42,0.2707863,0.42,0.1616649,0.42,0.1586243
0.43,0.2058947,0.43,0.305857,0.43,0.2173113,,0.43,0.1541327,0.43,0.0988487,0.43,0.1510671,,0.43,0.2646574,0.43,0.1587244,0.43,0.170829
0.44,0.2210516,0.44,0.3063007,0.44,0.2102914,,0.44,0.1541387,0.44,0.133231,0.44,0.1525665,,0.44,0.2653663,0.44,0.1729818,0.44,0.1640254
0.45,0.2321507,0.45,0.3090728,0.45,0.2121745,,0.45,0.1562031,0.45,0.1056957,0.45,0.1421315,,0.45,0.2684636,0.45,0.185826,0.45,0.1638708
0.46,0.2174102,0.46,0.3131272,0.46,0.2095858,,0.46,0.1558628,0.46,0.1215638,0.46,0.1356732,,0.46,0.2730468,0.46,0.1716444,0.46,0.1633866
0.47,0.2149045,0.47,0.3133657,0.47,0.2173457,,0.47,0.150534,0.47,0.1484677,0.47,0.1592781,,0.47,0.2723031,0.47,0.1687519,0.47,0.1722781
0.48,0.2037241,0.48,0.3071034,0.48,0.2251217,,0.48,0.1538848,0.48,0.1432147,0.48,0.1340925,,0.48,0.2657174,0.48,0.1529323,0.48,0.1804681
0.49,0.2050041,0.49,0.3107983,0.49,0.2188036,,0.49,0.1443081,0.49,0.1124801,0.49,0.1175527,,0.49,0.2697748,0.49,0.1589698,0.49,0.1739046
0.5,0.2023116,0.5,0.3046382,0.5,0.2214877,,0.5,0.1486215,0.5,0.1259299,0.5,0.1391053,,0.5,0.2630666,0.5,0.1557411,0.5,0.1752872
0.5100001,0.2178537,0.5100001,0.3189249,0.5100001,0.2101433,,0.5100001,0.1478786,0.5100001,0.0946513,0.5100001,0.1331079,,0.5100001,0.2784667,0.5100001,0.1774406,0.5100001,0.1628505
0.52,0.2119329,0.52,0.3153086,0.52,0.2000185,,0.52,0.1386562,0.52,0.1044922,0.52,0.1315148,,0.52,0.275335,0.52,0.1709501,0.52,0.1491924
0.53,0.2142839,0.53,0.3123992,0.53,0.2059454,,0.53,0.1484146,0.53,0.103872,0.53,0.1542486,,0.53,0.2709158,0.53,0.1686331,0.53,0.1562606
0.54,0.2054965,0.54,0.3123636,0.54,0.2120105,,0.54,0.151412,0.54,0.0996271,0.54,0.1315617,,0.54,0.270645,0.54,0.1612045,0.54,0.1601133
0.55,0.215314,0.55,0.3150235,0.55,0.2133433,,0.55,0.1472337,0.55,0.1260445,0.55,0.1700237,,0.55,0.2738569,0.55,0.1715171,0.55,0.1656764
0.56,0.2148984,0.56,0.3211837,0.56,0.2118721,,0.56,0.1452449,0.56,0.1346262,0.56,0.1386674,,0.56,0.2807013,0.56,0.1686482,0.56,0.1634645
