RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00696-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-00320-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg,RMSD-md50ns-complex-04868-protein.xvg
10.5700006,0.2490545,10.5700006,0.3560741,10.5700006,0.2616021
10.5800009,0.2310529,10.5800009,0.3438232,10.5800009,0.2710979
10.5900002,0.2383939,10.5900002,0.3276442,10.5900002,0.2622473
10.6000004,0.241157,10.6000004,0.3005264,10.6000004,0.2516813
10.6100006,0.2439837,10.6100006,0.3092276,10.6100006,0.2205304
10.6200008,0.253795,10.6200008,0.2934636,10.6200008,0.2276806
10.6300001,0.2411395,10.6300001,0.2823051,10.6300001,0.238913
10.6400003,0.2417112,10.6400003,0.2747589,10.6400003,0.2642765
10.6500006,0.2384277,10.6500006,0.2953388,10.6500006,0.2639772
10.6600008,0.2482027,10.6600008,0.2824678,10.6600008,0.2535528
10.6700001,0.2534773,10.6700001,0.2901983,10.6700001,0.2552
10.6800003,0.2630526,10.6800003,0.2985484,10.6800003,0.2474653
10.6900005,0.2635852,10.6900005,0.2870215,10.6900005,0.2369723
10.7000008,0.2622767,10.7000008,0.2885138,10.7000008,0.2271708
10.71,0.2622945,10.71,0.3227358,10.71,0.2205144
10.7200003,0.2632295,10.7200003,0.317174,10.7200003,0.2389455
10.7300005,0.2655123,10.7300005,0.3230137,10.7300005,0.2547793
10.7400007,0.2615841,10.7400007,0.305714,10.7400007,0.2510422
10.750001,0.2602729,10.750001,0.3224735,10.750001,0.2700068
10.7600002,0.2549133,10.7600002,0.343756,10.7600002,0.2772107
10.7700005,0.2551246,10.7700005,0.3444926,10.7700005,0.2683972
10.7800007,0.2549494,10.7800007,0.3355862,10.7800007,0.2689371
10.7900009,0.2508978,10.7900009,0.3330741,10.7900009,0.2830563
10.8000002,0.258891,10.8000002,0.3538131,10.8000002,0.2803754
10.8100004,0.2577281,10.8100004,0.3313665,10.8100004,0.2740583
10.8200006,0.2622871,10.8200006,0.3459712,10.8200006,0.2807576
10.8300009,0.2603321,10.8300009,0.3322493,10.8300009,0.2688668
10.8400002,0.2599946,10.8400002,0.3386909,10.8400002,0.2798298
10.8500004,0.2579693,10.8500004,0.3403514,10.8500004,0.2706116
10.8600006,0.2540565,10.8600006,0.3522433,10.8600006,0.2575334
10.8700008,0.2578648,10.8700008,0.3508491,10.8700008,0.2576416
10.8800001,0.2494379,10.8800001,0.3343901,10.8800001,0.2533692
10.8900003,0.2630389,10.8900003,0.291259,10.8900003,0.2568257
10.9000006,0.2597041,10.9000006,0.294322,10.9000006,0.2335199
10.9100008,0.2462873,10.9100008,0.2804707,10.9100008,0.2521088
10.9200001,0.2577547,10.9200001,0.2847807,10.9200001,0.2457048
10.9300003,0.2489222,10.9300003,0.2936727,10.9300003,0.2469122
10.9400005,0.2521487,10.9400005,0.2909842,10.9400005,0.2466401
10.9500008,0.2481121,10.9500008,0.2916652,10.9500008,0.2653394
10.960001,0.2526112,10.960001,0.3073686,10.960001,0.2426014
10.9700003,0.2572221,10.9700003,0.329451,10.9700003,0.2530288
10.9800005,0.2537172,10.9800005,0.3363599,10.9800005,0.2586678
10.9900007,0.2372891,10.9900007,0.3202533,10.9900007,0.2484008
11.000001,0.2415891,11.000001,0.3101704,11.000001,0.2410542
11.0100002,0.246087,11.0100002,0.3206054,11.0100002,0.2567734
11.0200005,0.25352,11.0200005,0.3273456,11.0200005,0.2678233
11.0300007,0.2537789,11.0300007,0.3265577,11.0300007,0.271017
11.0400009,0.2625793,11.0400009,0.3165932,11.0400009,0.2750483
11.0500002,0.2564055,11.0500002,0.3044454,11.0500002,0.2514649
11.0600004,0.261403,11.0600004,0.3057998,11.0600004,0.2668843
11.0700006,0.2481693,11.0700006,0.3046775,11.0700006,0.2646894
11.0800009,0.2454137,11.0800009,0.3034367,11.0800009,0.2688077
11.0900002,0.2519954,11.0900002,0.2911079,11.0900002,0.2672554
11.1000004,0.2385794,11.1000004,0.287532,11.1000004,0.2908014
11.1100006,0.2450733,11.1100006,0.285921,11.1100006,0.2568666
11.1200008,0.2511671,11.1200008,0.2919485,11.1200008,0.2670346
11.1300001,0.2608756,11.1300001,0.278451,11.1300001,0.2481542
11.1400003,0.2551077,11.1400003,0.2781952,11.1400003,0.2582548
11.1500006,0.255427,11.1500006,0.3132397,11.1500006,0.2452417
11.1600008,0.2466886,11.1600008,0.3099819,11.1600008,0.2524976
11.1700001,0.2624944,11.1700001,0.3099699,11.1700001,0.2488222
11.1800003,0.2667907,11.1800003,0.2993931,11.1800003,0.241568
11.1900005,0.2607577,11.1900005,0.3184055,11.1900005,0.2476114
11.2000008,0.2578191,11.2000008,0.3306202,11.2000008,0.2616944
11.210001,0.2674682,11.210001,0.3228926,11.210001,0.2520157
11.2200003,0.2674198,11.2200003,0.3220853,11.2200003,0.2441344
11.2300005,0.268492,11.2300005,0.325636,11.2300005,0.2437828
11.2400007,0.2701205,11.2400007,0.3352867,11.2400007,0.2509333
11.250001,0.2648754,11.250001,0.3564337,11.250001,0.2539497
11.2600002,0.2568578,11.2600002,0.3261006,11.2600002,0.2453946
11.2700005,0.2597539,11.2700005,0.3212938,11.2700005,0.2517031
11.2800007,0.2479351,11.2800007,0.2973814,11.2800007,0.2423289
11.2900009,0.2629281,11.2900009,0.2917928,11.2900009,0.2497836
11.3000002,0.2620341,11.3000002,0.3076575,11.3000002,0.2336775
11.3100004,0.2689448,11.3100004,0.2948087,11.3100004,0.2330729
11.3200006,0.2659943,11.3200006,0.2938312,11.3200006,0.2381696
11.3300009,0.2584282,11.3300009,0.3018163,11.3300009,0.2230291
11.3400002,0.2528309,11.3400002,0.287279,11.3400002,0.2265475
11.3500004,0.2557506,11.3500004,0.2975596,11.3500004,0.232575
11.3600006,0.2616206,11.3600006,0.2884175,11.3600006,0.2342947
11.3700008,0.2638839,11.3700008,0.315394,11.3700008,0.2434942
11.3800001,0.2584848,11.3800001,0.3083819,11.3800001,0.2471119
11.3900003,0.2655396,11.3900003,0.3120954,11.3900003,0.2429858
11.4000006,0.2653874,11.4000006,0.3342704,11.4000006,0.2363421
11.4100008,0.2640143,11.4100008,0.3302778,11.4100008,0.2659453
11.4200001,0.272128,11.4200001,0.3042932,11.4200001,0.2566163
11.4300003,0.2682813,11.4300003,0.3178603,11.4300003,0.2581793
11.4400005,0.2644474,11.4400005,0.3175074,11.4400005,0.2464487
11.4500008,0.263937,11.4500008,0.3221946,11.4500008,0.2280631
11.460001,0.2584065,11.460001,0.3350248,11.460001,0.2420196
11.4700003,0.2575345,11.4700003,0.3355045,11.4700003,0.2311012
11.4800005,0.2528448,11.4800005,0.32148,11.4800005,0.2446477
11.4900007,0.266135,11.4900007,0.3048925,11.4900007,0.248778
11.500001,0.2540389,11.500001,0.2937504,11.500001,0.2335593
11.5100002,0.2633157,11.5100002,0.2877448,11.5100002,0.2434747
11.5200005,0.2708701,11.5200005,0.3004924,11.5200005,0.2489126
11.5300007,0.2527119,11.5300007,0.2987955,11.5300007,0.2629913
11.5400009,0.2579002,11.5400009,0.3076209,11.5400009,0.2608391
11.5500002,0.2524126,11.5500002,0.3139165,11.5500002,0.2645801
11.5600004,0.2611463,11.5600004,0.3245913,11.5600004,0.241339
11.5700006,0.2711713,11.5700006,0.3216511,11.5700006,0.2448492
11.5800009,0.2637795,11.5800009,0.3258676,11.5800009,0.2359335
11.5900002,0.2601134,11.5900002,0.3472414,11.5900002,0.23998
11.6000004,0.256263,11.6000004,0.3526823,11.6000004,0.2482105
11.6100006,0.2743787,11.6100006,0.3523809,11.6100006,0.2371554
11.6200008,0.2723723,11.6200008,0.3579526,11.6200008,0.2452062
11.6300001,0.2635837,11.6300001,0.3476025,11.6300001,0.2435967
11.6400003,0.2678065,11.6400003,0.3417543,11.6400003,0.245678
11.6500006,0.2547211,11.6500006,0.3580844,11.6500006,0.2367473
11.6600008,0.2547982,11.6600008,0.3615932,11.6600008,0.2332857
11.670001,0.2520453,11.670001,0.3403724,11.670001,0.2388666
11.6800003,0.2506663,11.6800003,0.342278,11.6800003,0.2483024
11.6900005,0.2504738,11.6900005,0.3398055,11.6900005,0.2330888
11.7000008,0.2709621,11.7000008,0.3405001,11.7000008,0.2344348
11.710001,0.28275,11.710001,0.3667819,11.710001,0.2240469
11.7200003,0.2608409,11.7200003,0.374505,11.7200003,0.2259085
11.7300005,0.2640128,11.7300005,0.3791901,11.7300005,0.2239802
11.7400007,0.2671156,11.7400007,0.3748913,11.7400007,0.2270742
11.750001,0.2665338,11.750001,0.3769835,11.750001,0.2369694
11.7600002,0.2722714,11.7600002,0.383064,11.7600002,0.2486836
11.7700005,0.2653684,11.7700005,0.3962789,11.7700005,0.2561629
11.7800007,0.2701018,11.7800007,0.3838696,11.7800007,0.247343
11.7900009,0.2641175,11.7900009,0.3561764,11.7900009,0.2413388
11.8000002,0.2696905,11.8000002,0.3693859,11.8000002,0.2598394
11.8100004,0.2731248,11.8100004,0.377414,11.8100004,0.2476379
11.8200006,0.2824379,11.8200006,0.3617842,11.8200006,0.2588545
11.8300009,0.2800777,11.8300009,0.3577993,11.8300009,0.245844
11.8400002,0.2797016,11.8400002,0.3398156,11.8400002,0.254511
11.8500004,0.2744631,11.8500004,0.3421734,11.8500004,0.2500066
11.8600006,0.2779074,11.8600006,0.3244305,11.8600006,0.2526476
11.8700008,0.2760111,11.8700008,0.2977272,11.8700008,0.2567594
11.8800001,0.2606983,11.8800001,0.2838308,11.8800001,0.2383698
11.8900003,0.2679093,11.8900003,0.2976382,11.8900003,0.2397088
11.9000006,0.2645825,11.9000006,0.3010709,11.9000006,0.2280077
11.9100008,0.2622216,11.9100008,0.3217607,11.9100008,0.2453988
11.920001,0.2626246,11.920001,0.3113384,11.920001,0.2361241
11.9300003,0.2619278,11.9300003,0.3069503,11.9300003,0.2381357
11.9400005,0.2842501,11.9400005,0.3090723,11.9400005,0.2326093
11.9500008,0.2803058,11.9500008,0.3121487,11.9500008,0.234945
11.960001,0.2825042,11.960001,0.3309835,11.960001,0.2445077
11.9700003,0.2736201,11.9700003,0.3416054,11.9700003,0.2339605
11.9800005,0.2616921,11.9800005,0.3441894,11.9800005,0.2274728
11.9900007,0.2622615,11.9900007,0.3562797,11.9900007,0.2542004
12.000001,0.2628345,12.000001,0.3480952,12.000001,0.2329407
12.0100002,0.268174,12.0100002,0.3508446,12.0100002,0.2277118
12.0200005,0.267417,12.0200005,0.357689,12.0200005,0.2244313
12.0300007,0.2624674,12.0300007,0.3307633,12.0300007,0.2351561
12.0400009,0.2613015,12.0400009,0.3285463,12.0400009,0.2420982
12.0500002,0.2691233,12.0500002,0.3121076,12.0500002,0.2455243
12.0600004,0.2521916,12.0600004,0.3278833,12.0600004,0.2579502
12.0700006,0.2618895,12.0700006,0.3119432,12.0700006,0.2515889
12.0800009,0.2676445,12.0800009,0.3010094,12.0800009,0.2519468
12.0900002,0.2605355,12.0900002,0.2974843,12.0900002,0.2401681
12.1000004,0.2689167,12.1000004,0.3000659,12.1000004,0.2325745
12.1100006,0.2697855,12.1100006,0.2972906,12.1100006,0.2285958
12.1200008,0.2782964,12.1200008,0.2914075,12.1200008,0.2222277
12.1300001,0.2783583,12.1300001,0.3099255,12.1300001,0.2240667
12.1400003,0.2779214,12.1400003,0.3171403,12.1400003,0.2186566
12.1500006,0.2767775,12.1500006,0.3233016,12.1500006,0.2258305
12.1600008,0.2677021,12.1600008,0.3336737,12.1600008,0.2257474
12.170001,0.2713676,12.170001,0.3461353,12.170001,0.2329275
12.1800003,0.2843102,12.1800003,0.3368389,12.1800003,0.2247955
12.1900005,0.2822084,12.1900005,0.353779,12.1900005,0.223441
12.2000008,0.2858325,12.2000008,0.3737233,12.2000008,0.221403
12.210001,0.2904313,12.210001,0.3761399,12.210001,0.2158589
12.2200003,0.2929295,12.2200003,0.3459666,12.2200003,0.2171089
12.2300005,0.2820503,12.2300005,0.346704,12.2300005,0.2243751
12.2400007,0.2825651,12.2400007,0.346836,12.2400007,0.2202969
12.250001,0.2728462,12.250001,0.339877,12.250001,0.2268155
12.2600002,0.2703781,12.2600002,0.3403834,12.2600002,0.2391643
12.2700005,0.2733793,12.2700005,0.3219846,12.2700005,0.233968
12.2800007,0.2770674,12.2800007,0.302383,12.2800007,0.2163262
12.2900009,0.2800171,12.2900009,0.3221579,12.2900009,0.2117849
12.3000002,0.2721207,12.3000002,0.3143007,12.3000002,0.2194161
12.3100004,0.2598061,12.3100004,0.3195525,12.3100004,0.2204981
12.3200006,0.2688007,12.3200006,0.3345357,12.3200006,0.2292691
12.3300009,0.2665159,12.3300009,0.3236327,12.3300009,0.2269213
12.3400002,0.2862846,12.3400002,0.3111409,12.3400002,0.2311194
12.3500004,0.2830082,12.3500004,0.2995161,12.3500004,0.2346078
12.3600006,0.2764731,12.3600006,0.2936342,12.3600006,0.2618012
12.3700008,0.2827788,12.3700008,0.298008,12.3700008,0.2428884
12.3800001,0.2799898,12.3800001,0.3079346,12.3800001,0.2354952
12.3900003,0.26834,12.3900003,0.3089654,12.3900003,0.234007
12.4000006,0.2715295,12.4000006,0.3123716,12.4000006,0.2315183
12.4100008,0.2607217,12.4100008,0.3178056,12.4100008,0.2212768
12.420001,0.2544992,12.420001,0.3073633,12.420001,0.2157596
12.4300003,0.2638722,12.4300003,0.3017127,12.4300003,0.2205755
12.4400005,0.2708043,12.4400005,0.3220999,12.4400005,0.2025745
12.4500008,0.2706885,12.4500008,0.3265973,12.4500008,0.218331
12.460001,0.2575046,12.460001,0.3330468,12.460001,0.2115284
12.4700003,0.2575925,12.4700003,0.3701805,12.4700003,0.2048215
12.4800005,0.2687262,12.4800005,0.3536772,12.4800005,0.2095098
12.4900007,0.2633342,12.4900007,0.3494245,12.4900007,0.2141432
12.500001,0.2704991,12.500001,0.3099579,12.500001,0.2310418
12.5100002,0.2679365,12.5100002,0.3295028,12.5100002,0.2266106
12.5200005,0.2730764,12.5200005,0.3237831,12.5200005,0.2355473
12.5300007,0.2757908,12.5300007,0.3059943,12.5300007,0.2171296
12.5400009,0.2871921,12.5400009,0.3170945,12.5400009,0.2230128
12.5500002,0.2849855,12.5500002,0.3083856,12.5500002,0.2175934
12.5600004,0.2707468,12.5600004,0.3081745,12.5600004,0.2237906
12.5700006,0.2620792,12.5700006,0.3252377,12.5700006,0.2218211
12.5800009,0.2657217,12.5800009,0.3288859,12.5800009,0.2384653
12.5900002,0.2709734,12.5900002,0.3273644,12.5900002,0.2295148
12.6000004,0.2702568,12.6000004,0.3359623,12.6000004,0.2284158
12.6100006,0.2646057,12.6100006,0.3550806,12.6100006,0.2332942
12.6200008,0.2609467,12.6200008,0.3557942,12.6200008,0.2324277
12.6300011,0.2664704,12.6300011,0.3583172,12.6300011,0.2394638
12.6400003,0.2576137,12.6400003,0.3665967,12.6400003,0.2423389
12.6500006,0.2667132,12.6500006,0.3645293,12.6500006,0.2278724
12.6600008,0.2578981,12.6600008,0.3545453,12.6600008,0.2461939
12.670001,0.2599618,12.670001,0.3419548,12.670001,0.2431233
12.6800003,0.2667526,12.6800003,0.3428421,12.6800003,0.2416203
12.6900005,0.2601079,12.6900005,0.366138,12.6900005,0.2239712
12.7000008,0.2615019,12.7000008,0.3749346,12.7000008,0.2275739
12.710001,0.2684266,12.710001,0.3735301,12.710001,0.2231396
12.7200003,0.2743281,12.7200003,0.3462932,12.7200003,0.2404875
12.7300005,0.2593645,12.7300005,0.3422627,12.7300005,0.2421224
12.7400007,0.2520341,12.7400007,0.3809161,12.7400007,0.2237233
12.750001,0.2518867,12.750001,0.3846528,12.750001,0.2350828
12.7600002,0.2525114,12.7600002,0.4121765,12.7600002,0.2290526
12.7700005,0.2532916,12.7700005,0.3807525,12.7700005,0.2361861
12.7800007,0.2481568,12.7800007,0.395893,12.7800007,0.2315428
12.7900009,0.2698202,12.7900009,0.374844,12.7900009,0.2251836
12.8000002,0.2605536,12.8000002,0.3609077,12.8000002,0.2202875
12.8100004,0.2574673,12.8100004,0.3695028,12.8100004,0.2139948
12.8200006,0.2617341,12.8200006,0.3900255,12.8200006,0.221173
12.8300009,0.258933,12.8300009,0.3786342,12.8300009,0.231238
12.8400002,0.2620949,12.8400002,0.3599266,12.8400002,0.2168034
12.8500004,0.2605843,12.8500004,0.3664622,12.8500004,0.2251699
12.8600006,0.2555431,12.8600006,0.3723153,12.8600006,0.2287936
12.8700008,0.2701643,12.8700008,0.3710356,12.8700008,0.2400255
12.8800011,0.2618503,12.8800011,0.3854686,12.8800011,0.238923
12.8900003,0.2609789,12.8900003,0.4004097,12.8900003,0.2101448
12.9000006,0.2570236,12.9000006,0.3843581,12.9000006,0.2189694
12.9100008,0.2625392,12.9100008,0.3792407,12.9100008,0.2189968
12.920001,0.268478,12.920001,0.3759369,12.920001,0.2249735
12.9300003,0.2588283,12.9300003,0.3648305,12.9300003,0.2325809
12.9400005,0.2594904,12.9400005,0.3982517,12.9400005,0.2344904
12.9500008,0.2587869,12.9500008,0.3947476,12.9500008,0.2416079
12.960001,0.2528237,12.960001,0.4231599,12.960001,0.252021
12.9700003,0.2534229,12.9700003,0.4203117,12.9700003,0.2479877
12.9800005,0.2534278,12.9800005,0.4319399,12.9800005,0.2431516
12.9900007,0.25194,12.9900007,0.4136437,12.9900007,0.2424185
13.000001,0.2557867,13.000001,0.426672,13.000001,0.2359364
13.0100002,0.2512631,13.0100002,0.4154849,13.0100002,0.2315211
13.0200005,0.2456752,13.0200005,0.4111742,13.0200005,0.2268331
13.0300007,0.245097,13.0300007,0.3965946,13.0300007,0.2237381
13.0400009,0.2487603,13.0400009,0.3636398,13.0400009,0.219449
13.0500002,0.2628253,13.0500002,0.3708213,13.0500002,0.2383138
13.0600004,0.2450699,13.0600004,0.3316753,13.0600004,0.2319469
13.0700006,0.247937,13.0700006,0.3518166,13.0700006,0.2485476
13.0800009,0.24941,13.0800009,0.3702983,13.0800009,0.2460348
13.0900002,0.2601953,13.0900002,0.3649631,13.0900002,0.2515911
13.1000004,0.2492873,13.1000004,0.3827617,13.1000004,0.2575926
13.1100006,0.2616875,13.1100006,0.369535,13.1100006,0.2456194
13.1200008,0.2671677,13.1200008,0.3806264,13.1200008,0.2458557
13.1300011,0.2683633,13.1300011,0.409075,13.1300011,0.2514047
13.1400003,0.2730627,13.1400003,0.4148114,13.1400003,0.2662318
13.1500006,0.2511214,13.1500006,0.4163179,13.1500006,0.266652
13.1600008,0.2584557,13.1600008,0.4139545,13.1600008,0.2554615
13.170001,0.2497084,13.170001,0.389212,13.170001,0.2647183
13.1800003,0.2468131,13.1800003,0.3963865,13.1800003,0.2542029
13.1900005,0.2552174,13.1900005,0.3992527,13.1900005,0.2576159
13.2000008,0.2452608,13.2000008,0.3957652,13.2000008,0.2803206
13.210001,0.2533877,13.210001,0.4048346,13.210001,0.2709695
13.2200003,0.2563903,13.2200003,0.3650864,13.2200003,0.2636597
13.2300005,0.2632878,13.2300005,0.372014,13.2300005,0.2637477
13.2400007,0.2628159,13.2400007,0.3761797,13.2400007,0.2577019
13.250001,0.2523139,13.250001,0.3830824,13.250001,0.2705205
13.2600002,0.2585954,13.2600002,0.3652484,13.2600002,0.2737232
13.2700005,0.2629651,13.2700005,0.3883381,13.2700005,0.2511551
13.2800007,0.254089,13.2800007,0.3907622,13.2800007,0.2479295
13.2900009,0.2566192,13.2900009,0.377079,13.2900009,0.248583
13.3000002,0.2618972,13.3000002,0.3860684,13.3000002,0.2469743
13.3100004,0.2539602,13.3100004,0.3815463,13.3100004,0.2214897
13.3200006,0.2556663,13.3200006,0.3807141,13.3200006,0.2186467
13.3300009,0.2556535,13.3300009,0.3671482,13.3300009,0.2352466
13.3400011,0.2546989,13.3400011,0.3809375,13.3400011,0.2281787
13.3500004,0.2482274,13.3500004,0.3940314,13.3500004,0.2192606
13.3600006,0.2520058,13.3600006,0.3936497,13.3600006,0.2289793
13.3700008,0.244262,13.3700008,0.3985898,13.3700008,0.2234455
13.3800011,0.2607451,13.3800011,0.4134051,13.3800011,0.2398611
13.3900003,0.256839,13.3900003,0.4212583,13.3900003,0.2578556
13.4000006,0.262807,13.4000006,0.4321334,13.4000006,0.2609309
13.4100008,0.2684644,13.4100008,0.4464499,13.4100008,0.2550926
13.420001,0.2787509,13.420001,0.3977243,13.420001,0.2430745
13.4300003,0.2791288,13.4300003,0.4110734,13.4300003,0.2383373
13.4400005,0.2678991,13.4400005,0.3983056,13.4400005,0.2361668
13.4500008,0.2730411,13.4500008,0.4120427,13.4500008,0.235543
13.460001,0.268704,13.460001,0.3857241,13.460001,0.2335756
13.4700003,0.2699412,13.4700003,0.4207573,13.4700003,0.2264817
13.4800005,0.2677643,13.4800005,0.4328391,13.4800005,0.2465279
13.4900007,0.2601773,13.4900007,0.4421574,13.4900007,0.2475593
13.500001,0.2602033,13.500001,0.4207826,13.500001,0.2547151
13.5100002,0.2649863,13.5100002,0.4034348,13.5100002,0.2593375
13.5200005,0.2592868,13.5200005,0.3907664,13.5200005,0.2495835
13.5300007,0.2649893,13.5300007,0.3675314,13.5300007,0.247274
13.5400009,0.2561323,13.5400009,0.4041897,13.5400009,0.2481972
13.5500002,0.247946,13.5500002,0.4023388,13.5500002,0.2324045
13.5600004,0.2536207,13.5600004,0.3863928,13.5600004,0.2302617
13.5700006,0.2476056,13.5700006,0.3680798,13.5700006,0.2267731
13.5800009,0.248073,13.5800009,0.371855,13.5800009,0.2363006
13.5900011,0.2503805,13.5900011,0.399536,13.5900011,0.2380252
13.6000004,0.2550796,13.6000004,0.4369068,13.6000004,0.2243361
13.6100006,0.2596267,13.6100006,0.4433836,13.6100006,0.225295
13.6200008,0.2555999,13.6200008,0.4146873,13.6200008,0.2323769
13.6300011,0.2593194,13.6300011,0.4026733,13.6300011,0.2434314
13.6400003,0.2737094,13.6400003,0.4042464,13.6400003,0.2426334
13.6500006,0.2733817,13.6500006,0.4027568,13.6500006,0.2350961
13.6600008,0.2737324,13.6600008,0.4132869,13.6600008,0.2301736
13.670001,0.2755527,13.670001,0.4371587,13.670001,0.2360224
13.6800003,0.2762091,13.6800003,0.4710071,13.6800003,0.2519128
13.6900005,0.2772258,13.6900005,0.4230334,13.6900005,0.2356703
13.7000008,0.2722633,13.7000008,0.4028423,13.7000008,0.2323118
13.710001,0.275309,13.710001,0.3827794,13.710001,0.2266754
13.7200003,0.2801436,13.7200003,0.3885723,13.7200003,0.2395147
13.7300005,0.2738212,13.7300005,0.4109337,13.7300005,0.2294648
13.7400007,0.2736623,13.7400007,0.4183155,13.7400007,0.2367717
13.750001,0.2846503,13.750001,0.4157112,13.750001,0.2343024
13.7600002,0.2833786,13.7600002,0.4389138,13.7600002,0.2331069
13.7700005,0.2791626,13.7700005,0.4197334,13.7700005,0.2276201
13.7800007,0.2813931,13.7800007,0.4196649,13.7800007,0.2283286
13.7900009,0.2821135,13.7900009,0.4310447,13.7900009,0.2185234
13.8000002,0.2692784,13.8000002,0.4445036,13.8000002,0.2190104
13.8100004,0.2653198,13.8100004,0.442282,13.8100004,0.2303429
13.8200006,0.2622653,13.8200006,0.4362974,13.8200006,0.2403063
13.8300009,0.2596636,13.8300009,0.4280552,13.8300009,0.2578205
13.8400011,0.2585863,13.8400011,0.4238779,13.8400011,0.2751128
13.8500004,0.2526104,13.8500004,0.4477052,13.8500004,0.2693211
13.8600006,0.2579477,13.8600006,0.4573556,13.8600006,0.2428631
13.8700008,0.2574312,13.8700008,0.4696123,13.8700008,0.266004
13.8800011,0.2626683,13.8800011,0.5063205,13.8800011,0.2670999
13.8900003,0.2540027,13.8900003,0.4713207,13.8900003,0.2812923
13.9000006,0.261562,13.9000006,0.4659695,13.9000006,0.2904978
13.9100008,0.2552587,13.9100008,0.4605974,13.9100008,0.2940948
13.920001,0.2521277,13.920001,0.4829802,13.920001,0.268592
13.9300003,0.2597246,13.9300003,0.4872792,13.9300003,0.2537585
13.9400005,0.2475559,13.9400005,0.4590193,13.9400005,0.2526925
13.9500008,0.2485837,13.9500008,0.4651028,13.9500008,0.2646396
13.960001,0.2438008,13.960001,0.4393661,13.960001,0.2812639
13.9700003,0.2432301,13.9700003,0.4217763,13.9700003,0.2876584
13.9800005,0.252946,13.9800005,0.4027916,13.9800005,0.2933346
13.9900007,0.2562209,13.9900007,0.4090915,13.9900007,0.2841604
14.000001,0.2655668,14.000001,0.3825081,14.000001,0.2870783
14.0100002,0.263026,14.0100002,0.399565,14.0100002,0.287468
14.0200005,0.2640082,14.0200005,0.4198777,14.0200005,0.2901423
14.0300007,0.2599287,14.0300007,0.4201091,14.0300007,0.2917904
14.0400009,0.2655628,14.0400009,0.4364684,14.0400009,0.3035763
14.0500002,0.2608502,14.0500002,0.4317771,14.0500002,0.3151013
14.0600004,0.2624684,14.0600004,0.4330185,14.0600004,0.3014929
14.0700006,0.2625138,14.0700006,0.423565,14.0700006,0.2792831
14.0800009,0.2725511,14.0800009,0.4489236,14.0800009,0.2754952
14.0900011,0.2668338,14.0900011,0.4528201,14.0900011,0.2728357
14.1000004,0.2632908,14.1000004,0.4575454,14.1000004,0.285797
14.1100006,0.2603881,14.1100006,0.4266405,14.1100006,0.2786055
14.1200008,0.2751317,14.1200008,0.4552216,14.1200008,0.2936921
14.1300011,0.2814329,14.1300011,0.4613961,14.1300011,0.2898591
14.1400003,0.2941408,14.1400003,0.4686302,14.1400003,0.2850172
14.1500006,0.2860896,14.1500006,0.4776322,14.1500006,0.2776362
14.1600008,0.2782702,14.1600008,0.4710436,14.1600008,0.2616191
14.170001,0.2759898,14.170001,0.4270145,14.170001,0.2476266
14.1800003,0.2764489,14.1800003,0.4303827,14.1800003,0.2369814
14.1900005,0.2708486,14.1900005,0.4281515,14.1900005,0.2342166
14.2000008,0.2797224,14.2000008,0.4019726,14.2000008,0.2412284
14.210001,0.2686642,14.210001,0.4097436,14.210001,0.2442304
14.2200003,0.2700306,14.2200003,0.4274416,14.2200003,0.2566189
14.2300005,0.2642617,14.2300005,0.4390966,14.2300005,0.2622485
14.2400007,0.2649638,14.2400007,0.4386724,14.2400007,0.2599738
14.250001,0.2567053,14.250001,0.4553369,14.250001,0.2766899
14.2600002,0.2599373,14.2600002,0.4644723,14.2600002,0.2740625
14.2700005,0.2632817,14.2700005,0.4482818,14.2700005,0.2839062
14.2800007,0.2727916,14.2800007,0.4490444,14.2800007,0.2745036
14.2900009,0.2764347,14.2900009,0.4804454,14.2900009,0.2776045
14.3000011,0.2782133,14.3000011,0.4574373,14.3000011,0.2667327
14.3100004,0.2742851,14.3100004,0.4434094,14.3100004,0.2681318
14.3200006,0.280823,14.3200006,0.4417389,14.3200006,0.2616055
14.3300009,0.2814814,14.3300009,0.4353745,14.3300009,0.243766
14.3400011,0.2867301,14.3400011,0.4366015,14.3400011,0.2438846
14.3500004,0.2910819,14.3500004,0.4389503,14.3500004,0.2492423
14.3600006,0.2837463,14.3600006,0.4451261,14.3600006,0.2433983
14.3700008,0.2674165,14.3700008,0.4383616,14.3700008,0.2408649
14.3800011,0.2588248,14.3800011,0.4260978,14.3800011,0.2339078
14.3900003,0.259041,14.3900003,0.4285769,14.3900003,0.2419238
14.4000006,0.2619526,14.4000006,0.4339479,14.4000006,0.2410169
14.4100008,0.2706764,14.4100008,0.4261805,14.4100008,0.2237856
14.420001,0.2637423,14.420001,0.3967983,14.420001,0.2246875
14.4300003,0.2673749,14.4300003,0.3905416,14.4300003,0.2363975
14.4400005,0.2754707,14.4400005,0.3856454,14.4400005,0.2572029
14.4500008,0.2710582,14.4500008,0.4268364,14.4500008,0.2573619
14.460001,0.2776613,14.460001,0.4182972,14.460001,0.2520593
14.4700003,0.2731526,14.4700003,0.4163682,14.4700003,0.2427868
